here
CPU_CLK_UNHALTED 43985016 422081
INST_RETIRED 106551810 2729093
MEM_INST_RETIRED.ALL_LOADS 21080481 306375
MEM_INST_RETIRED.ALL_STORES 10776663 374702
L1D.REPLACEMENT 225885 57912
L2_LINES_IN.ALL 53495 3147
IDQ_UOPS_NOT_DELIVERED.CORE 40080705 946998
UOPS_ISSUED.ANY 67971500 1270832
INT_MISC.RECOVERY_CYCLES_ANY 416630 37911
UOPS_RETIRED.RETIRE_SLOTS 54215833 903925
CYCLE_ACTIVITY.STALLS_MEM_ANY 1470420 63467
EXE_ACTIVITY.BOUND_ON_STORES 52469 6394
EXE_ACTIVITY.1_PORTS_UTIL 2191554 52116
EXE_ACTIVITY.2_PORTS_UTIL 2695437 28522
EXE_ACTIVITY.EXE_BOUND_0_PORTS 94742 2475
CYCLE_ACTIVITY.STALLS_L1D_MISS 96457 9424
CYCLE_ACTIVITY.STALLS_L2_MISS 27160 0
CYCLE_ACTIVITY.STALLS_L3_MISS 13795 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 242089682 14054572
INST_RETIRED 557365091 16513729
MEM_INST_RETIRED.ALL_LOADS 138766633 20160658
MEM_INST_RETIRED.ALL_STORES 71253073 17002137
L1D.REPLACEMENT 4461283 2531107
L2_LINES_IN.ALL 792692 734669
IDQ_UOPS_NOT_DELIVERED.CORE 259843280 20811443
UOPS_ISSUED.ANY 506323388 58296114
INT_MISC.RECOVERY_CYCLES_ANY 2769831 904875
UOPS_RETIRED.RETIRE_SLOTS 487885777 13486730
CYCLE_ACTIVITY.STALLS_MEM_ANY 26727653 16817025
EXE_ACTIVITY.BOUND_ON_STORES 852484 687843
EXE_ACTIVITY.1_PORTS_UTIL 27057756 2397996
EXE_ACTIVITY.2_PORTS_UTIL 35810580 3970144
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1778619 951696
