here
CPU_CLK_UNHALTED 37429764 1609964
INST_RETIRED 65768530 9104781
MEM_INST_RETIRED.ALL_LOADS 18100836 3000190
MEM_INST_RETIRED.ALL_STORES 9222052 1840828
L1D.REPLACEMENT 530384 112422
L2_LINES_IN.ALL 205614 103257
IDQ_UOPS_NOT_DELIVERED.CORE 40039995 5884345
UOPS_ISSUED.ANY 54338039 3197286
INT_MISC.RECOVERY_CYCLES_ANY 782739 152717
UOPS_RETIRED.RETIRE_SLOTS 40232369 2245475
CYCLE_ACTIVITY.STALLS_MEM_ANY 3439887 432863
EXE_ACTIVITY.BOUND_ON_STORES 92826 17352
EXE_ACTIVITY.1_PORTS_UTIL 2268224 99823
EXE_ACTIVITY.2_PORTS_UTIL 2502837 74167
EXE_ACTIVITY.EXE_BOUND_0_PORTS 175702 8976
CYCLE_ACTIVITY.STALLS_L1D_MISS 675573 964
CYCLE_ACTIVITY.STALLS_L2_MISS 428296 0
CYCLE_ACTIVITY.STALLS_L3_MISS 219032 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 11 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 218566264 18311148
INST_RETIRED 369678374 37170501
MEM_INST_RETIRED.ALL_LOADS 109910968 11920616
MEM_INST_RETIRED.ALL_STORES 64497414 7925793
L1D.REPLACEMENT 3394132 417497
L2_LINES_IN.ALL 746115 318176
IDQ_UOPS_NOT_DELIVERED.CORE 330839630 31793892
UOPS_ISSUED.ANY 403839121 15023878
INT_MISC.RECOVERY_CYCLES_ANY 7312189 953554
UOPS_RETIRED.RETIRE_SLOTS 349018980 14618483
CYCLE_ACTIVITY.STALLS_MEM_ANY 30101302 2942281
EXE_ACTIVITY.BOUND_ON_STORES 496042 196784
EXE_ACTIVITY.1_PORTS_UTIL 29354600 1403477
EXE_ACTIVITY.2_PORTS_UTIL 36652854 1326945
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3579506 393249
CYCLE_ACTIVITY.STALLS_L1D_MISS 8845919 2218502
CYCLE_ACTIVITY.STALLS_L2_MISS 5430703 2350300
CYCLE_ACTIVITY.STALLS_L3_MISS 3549707 1454363
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 4221 3998
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 4020779 1517089


CPU_CLK_UNHALTED 400562055 32921614
INST_RETIRED 767122343 97224918
MEM_INST_RETIRED.ALL_LOADS 228417867 29682253
MEM_INST_RETIRED.ALL_STORES 136180004 19385589
L1D.REPLACEMENT 6211162 788483
L2_LINES_IN.ALL 1033145 595659
IDQ_UOPS_NOT_DELIVERED.CORE 573788341 63717515
UOPS_ISSUED.ANY 818627061 55673739
INT_MISC.RECOVERY_CYCLES_ANY 10025052 2950812
UOPS_RETIRED.RETIRE_SLOTS 743520638 64552301
CYCLE_ACTIVITY.STALLS_MEM_ANY 44442837 10678287
EXE_ACTIVITY.BOUND_ON_STORES 792349 343115
EXE_ACTIVITY.1_PORTS_UTIL 54137996 3042815
EXE_ACTIVITY.2_PORTS_UTIL 74739767 3764555
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5078529 1332571
CYCLE_ACTIVITY.STALLS_L1D_MISS 11142397 6969326
CYCLE_ACTIVITY.STALLS_L2_MISS 6681461 3439875
CYCLE_ACTIVITY.STALLS_L3_MISS 4166618 1687710
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 15773 17393
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 4602693 2209009


CPU_CLK_UNHALTED 582708921 47844494
INST_RETIRED 1108400766 136417174
MEM_INST_RETIRED.ALL_LOADS 330576661 106383943
MEM_INST_RETIRED.ALL_STORES 195766908 66104884
L1D.REPLACEMENT 8494626 1741841
L2_LINES_IN.ALL 1449396 804230
IDQ_UOPS_NOT_DELIVERED.CORE 776802048 70773850
UOPS_ISSUED.ANY 1239208585 98784234
INT_MISC.RECOVERY_CYCLES_ANY 12521827 5332926
UOPS_RETIRED.RETIRE_SLOTS 1078456421 90876228
CYCLE_ACTIVITY.STALLS_MEM_ANY 60255041 18780458
EXE_ACTIVITY.BOUND_ON_STORES 1107403 558035
EXE_ACTIVITY.1_PORTS_UTIL 77864096 5416672
EXE_ACTIVITY.2_PORTS_UTIL 111919083 6460319
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6574607 2382284
CYCLE_ACTIVITY.STALLS_L1D_MISS 16876933 10848510
CYCLE_ACTIVITY.STALLS_L2_MISS 9846908 4001909
CYCLE_ACTIVITY.STALLS_L3_MISS 6607176 2173623
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 26860 26698
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7066304 2694753


CPU_CLK_UNHALTED 759696592 60270751
INST_RETIRED 1483527760 203146221
MEM_INST_RETIRED.ALL_LOADS 439807691 138024486
MEM_INST_RETIRED.ALL_STORES 261107443 86447324
L1D.REPLACEMENT 11675605 2591010
L2_LINES_IN.ALL 1825768 894860
IDQ_UOPS_NOT_DELIVERED.CORE 1019480426 99051953
UOPS_ISSUED.ANY 1634413403 130017420
INT_MISC.RECOVERY_CYCLES_ANY 14728127 7591065
UOPS_RETIRED.RETIRE_SLOTS 1446390625 155923654
CYCLE_ACTIVITY.STALLS_MEM_ANY 78847812 25120833
EXE_ACTIVITY.BOUND_ON_STORES 1500750 754272
EXE_ACTIVITY.1_PORTS_UTIL 102551385 7209906
EXE_ACTIVITY.2_PORTS_UTIL 148203865 8574754
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8233337 3351835
CYCLE_ACTIVITY.STALLS_L1D_MISS 23080485 11765237
CYCLE_ACTIVITY.STALLS_L2_MISS 13516296 4711762
CYCLE_ACTIVITY.STALLS_L3_MISS 9378084 2835395
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 58046 25883
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 10381105 3631558


CPU_CLK_UNHALTED 941063544 71371036
INST_RETIRED 1820389287 252653221
MEM_INST_RETIRED.ALL_LOADS 544357902 166288444
MEM_INST_RETIRED.ALL_STORES 319706009 103856296
L1D.REPLACEMENT 18649458 7451766
L2_LINES_IN.ALL 2213885 1030385
IDQ_UOPS_NOT_DELIVERED.CORE 1256764261 122185174
UOPS_ISSUED.ANY 1990493561 159819627
INT_MISC.RECOVERY_CYCLES_ANY 18092066 9444934
UOPS_RETIRED.RETIRE_SLOTS 1770758346 197496071
CYCLE_ACTIVITY.STALLS_MEM_ANY 106254437 31679929
EXE_ACTIVITY.BOUND_ON_STORES 1942754 1030832
EXE_ACTIVITY.1_PORTS_UTIL 129990838 9508981
EXE_ACTIVITY.2_PORTS_UTIL 181997380 10529038
EXE_ACTIVITY.EXE_BOUND_0_PORTS 10234712 4143929
CYCLE_ACTIVITY.STALLS_L1D_MISS 40252648 45277589
CYCLE_ACTIVITY.STALLS_L2_MISS 15536358 5478363
CYCLE_ACTIVITY.STALLS_L3_MISS 10660904 3174408
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 92488 67301
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 12746510 4919456


CPU_CLK_UNHALTED 1118861301 83163406
INST_RETIRED 2141264812 105154441
MEM_INST_RETIRED.ALL_LOADS 648396322 200053516
MEM_INST_RETIRED.ALL_STORES 377251399 124330698
L1D.REPLACEMENT 22801419 8998164
L2_LINES_IN.ALL 2672898 1278738
IDQ_UOPS_NOT_DELIVERED.CORE 1480062828 171202509
UOPS_ISSUED.ANY 2337505380 253493210
INT_MISC.RECOVERY_CYCLES_ANY 21214842 11238739
UOPS_RETIRED.RETIRE_SLOTS 2088365248 276919154
CYCLE_ACTIVITY.STALLS_MEM_ANY 134574692 52106761
EXE_ACTIVITY.BOUND_ON_STORES 2408629 1105759
EXE_ACTIVITY.1_PORTS_UTIL 152445869 13273570
EXE_ACTIVITY.2_PORTS_UTIL 214186575 16095850
EXE_ACTIVITY.EXE_BOUND_0_PORTS 12271786 4905057
CYCLE_ACTIVITY.STALLS_L1D_MISS 50077681 37472113
CYCLE_ACTIVITY.STALLS_L2_MISS 18522086 6636454
CYCLE_ACTIVITY.STALLS_L3_MISS 12992673 4242608
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 275765 260352
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 16994894 6953495


CPU_CLK_UNHALTED 1295226733 93620383
INST_RETIRED 2420066887 127288261
MEM_INST_RETIRED.ALL_LOADS 735694607 223362075
MEM_INST_RETIRED.ALL_STORES 427311492 140693676
L1D.REPLACEMENT 25322768 10124187
L2_LINES_IN.ALL 3190585 1493456
IDQ_UOPS_NOT_DELIVERED.CORE 1762081787 215857577
UOPS_ISSUED.ANY 2677304279 285893674
INT_MISC.RECOVERY_CYCLES_ANY 27315569 13070878
UOPS_RETIRED.RETIRE_SLOTS 2383580895 311475283
CYCLE_ACTIVITY.STALLS_MEM_ANY 162614482 59006210
EXE_ACTIVITY.BOUND_ON_STORES 2682617 1253293
EXE_ACTIVITY.1_PORTS_UTIL 178098205 14718996
EXE_ACTIVITY.2_PORTS_UTIL 246753406 18407342
EXE_ACTIVITY.EXE_BOUND_0_PORTS 15560562 5668752
CYCLE_ACTIVITY.STALLS_L1D_MISS 60954936 34137651
CYCLE_ACTIVITY.STALLS_L2_MISS 26426156 10577676
CYCLE_ACTIVITY.STALLS_L3_MISS 18895219 6356810
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 302265 273634
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 23460469 9307932


CPU_CLK_UNHALTED 1472594940 103687904
INST_RETIRED 2720427756 149948372
MEM_INST_RETIRED.ALL_LOADS 827616602 247299230
MEM_INST_RETIRED.ALL_STORES 481668112 156617793
L1D.REPLACEMENT 28515381 11093846
L2_LINES_IN.ALL 3652508 1693588
IDQ_UOPS_NOT_DELIVERED.CORE 2043272941 257257364
UOPS_ISSUED.ANY 3035813229 318789615
INT_MISC.RECOVERY_CYCLES_ANY 33953009 14977248
UOPS_RETIRED.RETIRE_SLOTS 2689346863 347468839
CYCLE_ACTIVITY.STALLS_MEM_ANY 186587374 65678840
EXE_ACTIVITY.BOUND_ON_STORES 3033690 1419077
