here
CPU_CLK_UNHALTED 44578733 644870
INST_RETIRED 63203899 1152148
MEM_INST_RETIRED.ALL_LOADS 12525410 276041
MEM_INST_RETIRED.ALL_STORES 5167609 133902
L1D.REPLACEMENT 685717 21066
L2_LINES_IN.ALL 71258 2746
IDQ_UOPS_NOT_DELIVERED.CORE 4524756 137055
UOPS_ISSUED.ANY 42705256 2816558
INT_MISC.RECOVERY_CYCLES_ANY 70273 16281
UOPS_RETIRED.RETIRE_SLOTS 35491890 2134524
CYCLE_ACTIVITY.STALLS_MEM_ANY 2001659 38768
EXE_ACTIVITY.BOUND_ON_STORES 1381 1090
EXE_ACTIVITY.1_PORTS_UTIL 4948149 17967
EXE_ACTIVITY.2_PORTS_UTIL 3623288 17928
EXE_ACTIVITY.EXE_BOUND_0_PORTS 890162 22942
CYCLE_ACTIVITY.STALLS_L1D_MISS 34011 21
CYCLE_ACTIVITY.STALLS_L2_MISS 11669 0
CYCLE_ACTIVITY.STALLS_L3_MISS 7956 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 237 0


CPU_CLK_UNHALTED 225103097 3409450
INST_RETIRED 331569926 5272154
MEM_INST_RETIRED.ALL_LOADS 68338444 1155930
MEM_INST_RETIRED.ALL_STORES 29645885 538972
L1D.REPLACEMENT 4193842 72507
L2_LINES_IN.ALL 481128 18390
IDQ_UOPS_NOT_DELIVERED.CORE 30933706 580957
UOPS_ISSUED.ANY 316621155 10909854
INT_MISC.RECOVERY_CYCLES_ANY 531207 51944
UOPS_RETIRED.RETIRE_SLOTS 304878780 12227948
CYCLE_ACTIVITY.STALLS_MEM_ANY 18975672 505540
EXE_ACTIVITY.BOUND_ON_STORES 7111 6554
EXE_ACTIVITY.1_PORTS_UTIL 59098429 855102
EXE_ACTIVITY.2_PORTS_UTIL 50121357 344226
EXE_ACTIVITY.EXE_BOUND_0_PORTS 15123219 566568
CYCLE_ACTIVITY.STALLS_L1D_MISS 668935 57710
CYCLE_ACTIVITY.STALLS_L2_MISS 304229 26421
CYCLE_ACTIVITY.STALLS_L3_MISS 254038 25595
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 344114 40187


CPU_CLK_UNHALTED 400084322 8196700
INST_RETIRED 586819823 14897404
MEM_INST_RETIRED.ALL_LOADS 120449846 4081709
MEM_INST_RETIRED.ALL_STORES 52600702 1742177
L1D.REPLACEMENT 7508636 192170
L2_LINES_IN.ALL 861746 48878
IDQ_UOPS_NOT_DELIVERED.CORE 55877304 1718114
UOPS_ISSUED.ANY 576879542 23572585
INT_MISC.RECOVERY_CYCLES_ANY 953725 78350
UOPS_RETIRED.RETIRE_SLOTS 552486156 24074977
CYCLE_ACTIVITY.STALLS_MEM_ANY 35953891 1059594
EXE_ACTIVITY.BOUND_ON_STORES 11143 4945
EXE_ACTIVITY.1_PORTS_UTIL 112325374 2319036
EXE_ACTIVITY.2_PORTS_UTIL 95271794 1130030
EXE_ACTIVITY.EXE_BOUND_0_PORTS 29232233 1419383
CYCLE_ACTIVITY.STALLS_L1D_MISS 1254880 94781
CYCLE_ACTIVITY.STALLS_L2_MISS 564325 37266
CYCLE_ACTIVITY.STALLS_L3_MISS 480712 31369
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 624761 44174


CPU_CLK_UNHALTED 533902290 71009046
