here
CPU_CLK_UNHALTED 48667720 298407
INST_RETIRED 114991330 743785
MEM_INST_RETIRED.ALL_LOADS 24206980 175088
MEM_INST_RETIRED.ALL_STORES 12962166 97240
L1D.REPLACEMENT 21471 737
L2_LINES_IN.ALL 12026 600
IDQ_UOPS_NOT_DELIVERED.CORE 44316114 323588
UOPS_ISSUED.ANY 74145244 483154
INT_MISC.RECOVERY_CYCLES_ANY 688648 16044
UOPS_RETIRED.RETIRE_SLOTS 59713423 334930
CYCLE_ACTIVITY.STALLS_MEM_ANY 885737 60004
EXE_ACTIVITY.BOUND_ON_STORES 36713 9105
EXE_ACTIVITY.1_PORTS_UTIL 2264562 123334
EXE_ACTIVITY.2_PORTS_UTIL 3270045 166280
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 214900497 42914314
INST_RETIRED 519754610 36404277
MEM_INST_RETIRED.ALL_LOADS 116381556 22822808
MEM_INST_RETIRED.ALL_STORES 66077466 7812163
L1D.REPLACEMENT 117923 10353
L2_LINES_IN.ALL 76830 6307
IDQ_UOPS_NOT_DELIVERED.CORE 265794783 39737764
UOPS_ISSUED.ANY 480556714 36844606
INT_MISC.RECOVERY_CYCLES_ANY 4833082 430260
UOPS_RETIRED.RETIRE_SLOTS 453470014 67046424
CYCLE_ACTIVITY.STALLS_MEM_ANY 7365513 1013014
EXE_ACTIVITY.BOUND_ON_STORES 4490200 17129132
EXE_ACTIVITY.1_PORTS_UTIL 21461516 6851060
EXE_ACTIVITY.2_PORTS_UTIL 35260594 13224881
EXE_ACTIVITY.EXE_BOUND_0_PORTS 9162537 996698
CYCLE_ACTIVITY.STALLS_L1D_MISS 194276 41440
CYCLE_ACTIVITY.STALLS_L2_MISS 173150 38261
CYCLE_ACTIVITY.STALLS_L3_MISS 181498 129752
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 127950 28859


CPU_CLK_UNHALTED 394536745 76876835
INST_RETIRED 957464890 83260291
MEM_INST_RETIRED.ALL_LOADS 253163576 49272824
MEM_INST_RETIRED.ALL_STORES 92907764 27629237
L1D.REPLACEMENT 9211201 4636712
L2_LINES_IN.ALL 256923 128028
IDQ_UOPS_NOT_DELIVERED.CORE 290979358 72615419
UOPS_ISSUED.ANY 986208109 97723516
INT_MISC.RECOVERY_CYCLES_ANY 9992389 1144253
UOPS_RETIRED.RETIRE_SLOTS 909523088 136131414
CYCLE_ACTIVITY.STALLS_MEM_ANY 14029491 2373685
EXE_ACTIVITY.BOUND_ON_STORES 4057188 11651257
EXE_ACTIVITY.1_PORTS_UTIL 35629547 12934384
EXE_ACTIVITY.2_PORTS_UTIL 67401377 27095796
EXE_ACTIVITY.EXE_BOUND_0_PORTS 10167435 6165638
CYCLE_ACTIVITY.STALLS_L1D_MISS 2425014 963402
CYCLE_ACTIVITY.STALLS_L2_MISS 459502 154831
CYCLE_ACTIVITY.STALLS_L3_MISS 452829 155767
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 417475 186845


CPU_CLK_UNHALTED 588932537 106647492
INST_RETIRED 1462830810 137228404
MEM_INST_RETIRED.ALL_LOADS 404401021 81841326
MEM_INST_RETIRED.ALL_STORES 120871801 46868035
L1D.REPLACEMENT 19224073 6239639
L2_LINES_IN.ALL 406974 196066
IDQ_UOPS_NOT_DELIVERED.CORE 319970151 99564789
UOPS_ISSUED.ANY 1559035391 189155026
