here
CPU_CLK_UNHALTED 43024820 734340
INST_RETIRED 97604129 2178671
MEM_INST_RETIRED.ALL_LOADS 22947106 428485
MEM_INST_RETIRED.ALL_STORES 11603211 226162
L1D.REPLACEMENT 406751 9127
L2_LINES_IN.ALL 64777 1305
IDQ_UOPS_NOT_DELIVERED.CORE 27249490 737805
UOPS_ISSUED.ANY 69186595 1573282
INT_MISC.RECOVERY_CYCLES_ANY 459204 8287
UOPS_RETIRED.RETIRE_SLOTS 54035982 1548388
CYCLE_ACTIVITY.STALLS_MEM_ANY 1520307 34808
EXE_ACTIVITY.BOUND_ON_STORES 32454 3695
EXE_ACTIVITY.1_PORTS_UTIL 1954721 48615
EXE_ACTIVITY.2_PORTS_UTIL 2594145 40413
EXE_ACTIVITY.EXE_BOUND_0_PORTS 119599 863
CYCLE_ACTIVITY.STALLS_L1D_MISS 147922 2106
CYCLE_ACTIVITY.STALLS_L2_MISS 67358 0
CYCLE_ACTIVITY.STALLS_L3_MISS 34683 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 192888934 2654022
INST_RETIRED 458295624 6936711
MEM_INST_RETIRED.ALL_LOADS 112329165 1462704
MEM_INST_RETIRED.ALL_STORES 59733721 780302
L1D.REPLACEMENT 2223923 59578
L2_LINES_IN.ALL 380578 10122
IDQ_UOPS_NOT_DELIVERED.CORE 164127861 2773943
UOPS_ISSUED.ANY 454177482 6666543
INT_MISC.RECOVERY_CYCLES_ANY 3243924 44427
UOPS_RETIRED.RETIRE_SLOTS 415573560 8192549
CYCLE_ACTIVITY.STALLS_MEM_ANY 12372596 291533
EXE_ACTIVITY.BOUND_ON_STORES 283180 32656
EXE_ACTIVITY.1_PORTS_UTIL 20649907 527950
EXE_ACTIVITY.2_PORTS_UTIL 31514465 704276
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1707975 34545
CYCLE_ACTIVITY.STALLS_L1D_MISS 2337148 231037
CYCLE_ACTIVITY.STALLS_L2_MISS 1186915 180446
CYCLE_ACTIVITY.STALLS_L3_MISS 788753 170150
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 934455 156547


CPU_CLK_UNHALTED 363413489 5846870
