here
CPU_CLK_UNHALTED 6048321 17751
INST_RETIRED 151028 543
MEM_INST_RETIRED.ALL_LOADS 27122 58
MEM_INST_RETIRED.ALL_STORES 25530 58
L1D.REPLACEMENT 3631 1331
L2_LINES_IN.ALL 6338 128
IDQ_UOPS_NOT_DELIVERED.CORE 2601421 21398
UOPS_ISSUED.ANY 2937657 30400
INT_MISC.RECOVERY_CYCLES_ANY 250622 1578
UOPS_RETIRED.RETIRE_SLOTS 1563446 10656
CYCLE_ACTIVITY.STALLS_MEM_ANY 77275 613
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 264112 1461
EXE_ACTIVITY.2_PORTS_UTIL 270920 1254
EXE_ACTIVITY.EXE_BOUND_0_PORTS 154154 605
CYCLE_ACTIVITY.STALLS_L1D_MISS 6994 3
CYCLE_ACTIVITY.STALLS_L2_MISS 4540 0
CYCLE_ACTIVITY.STALLS_L3_MISS 31 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 30524377 107340
INST_RETIRED 791012 5324
MEM_INST_RETIRED.ALL_LOADS 149190 979
MEM_INST_RETIRED.ALL_STORES 147495 979
L1D.REPLACEMENT 25235 4338
L2_LINES_IN.ALL 40512 577
IDQ_UOPS_NOT_DELIVERED.CORE 17183639 3830528
UOPS_ISSUED.ANY 22258201 168090
INT_MISC.RECOVERY_CYCLES_ANY 2008701 13723
UOPS_RETIRED.RETIRE_SLOTS 13327939 2663169
CYCLE_ACTIVITY.STALLS_MEM_ANY 775587 61440
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3129980 32036
EXE_ACTIVITY.2_PORTS_UTIL 3653606 721780
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2521076 22446
CYCLE_ACTIVITY.STALLS_L1D_MISS 142856 5108
CYCLE_ACTIVITY.STALLS_L2_MISS 126584 3710
CYCLE_ACTIVITY.STALLS_L3_MISS 1137 719
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2114 1439


CPU_CLK_UNHALTED 43384600 4144757
INST_RETIRED 1131336 141376
MEM_INST_RETIRED.ALL_LOADS 214957 34003
MEM_INST_RETIRED.ALL_STORES 213243 34404
L1D.REPLACEMENT 34344 8330
L2_LINES_IN.ALL 58925 9450
IDQ_UOPS_NOT_DELIVERED.CORE 26660678 4152717
UOPS_ISSUED.ANY 32500193 4462018
INT_MISC.RECOVERY_CYCLES_ANY 2944552 359334
UOPS_RETIRED.RETIRE_SLOTS 19748215 4493380
CYCLE_ACTIVITY.STALLS_MEM_ANY 1151575 156542
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 4650415 621997
EXE_ACTIVITY.2_PORTS_UTIL 5348269 1438942
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3775264 461339
CYCLE_ACTIVITY.STALLS_L1D_MISS 215626 27614
CYCLE_ACTIVITY.STALLS_L2_MISS 191674 32406
CYCLE_ACTIVITY.STALLS_L3_MISS 14665 33794
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 17091 36941


CPU_CLK_UNHALTED 43384600 10835688
INST_RETIRED 1131336 297057
MEM_INST_RETIRED.ALL_LOADS 214957 68786
MEM_INST_RETIRED.ALL_STORES 213243 67282
L1D.REPLACEMENT 34344 11288
L2_LINES_IN.ALL 58925 18424
IDQ_UOPS_NOT_DELIVERED.CORE 26105134 6263377
UOPS_ISSUED.ANY 32500193 11148725
INT_MISC.RECOVERY_CYCLES_ANY 2944552 761567
UOPS_RETIRED.RETIRE_SLOTS 19748215 6883541
CYCLE_ACTIVITY.STALLS_MEM_ANY 1151575 271872
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 4650415 1375452
EXE_ACTIVITY.2_PORTS_UTIL 5348269 1982747
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3775264 1085802
CYCLE_ACTIVITY.STALLS_L1D_MISS 215626 68431
CYCLE_ACTIVITY.STALLS_L2_MISS 191674 68160
CYCLE_ACTIVITY.STALLS_L3_MISS 14841 35223
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 17280 38494


CPU_CLK_UNHALTED 43384600 14900382
INST_RETIRED 1131336 413300
MEM_INST_RETIRED.ALL_LOADS 214957 87598
MEM_INST_RETIRED.ALL_STORES 213243 85396
L1D.REPLACEMENT 34344 13240
L2_LINES_IN.ALL 58925 23678
IDQ_UOPS_NOT_DELIVERED.CORE 26105134 8189060
UOPS_ISSUED.ANY 32500193 15013700
INT_MISC.RECOVERY_CYCLES_ANY 2944552 1066183
UOPS_RETIRED.RETIRE_SLOTS 19748215 8440343
CYCLE_ACTIVITY.STALLS_MEM_ANY 1151575 371586
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 4650415 1916430
EXE_ACTIVITY.2_PORTS_UTIL 5348269 2270219
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3775264 1495429
CYCLE_ACTIVITY.STALLS_L1D_MISS 215626 87862
CYCLE_ACTIVITY.STALLS_L2_MISS 191674 102040
CYCLE_ACTIVITY.STALLS_L3_MISS 14841 35149
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 17280 38396


CPU_CLK_UNHALTED 43590747 18526106
INST_RETIRED 1131336 494774
MEM_INST_RETIRED.ALL_LOADS 214957 102310
MEM_INST_RETIRED.ALL_STORES 213243 100578
L1D.REPLACEMENT 34344 14620
L2_LINES_IN.ALL 58925 28110
IDQ_UOPS_NOT_DELIVERED.CORE 26745459 9967552
UOPS_ISSUED.ANY 32536252 18384384
INT_MISC.RECOVERY_CYCLES_ANY 2944552 1282571
UOPS_RETIRED.RETIRE_SLOTS 19748215 9536662
CYCLE_ACTIVITY.STALLS_MEM_ANY 1151575 441006
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 4658490 2354362
EXE_ACTIVITY.2_PORTS_UTIL 5348269 2485798
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3782317 1837735
CYCLE_ACTIVITY.STALLS_L1D_MISS 215626 102434
CYCLE_ACTIVITY.STALLS_L2_MISS 191674 112501
CYCLE_ACTIVITY.STALLS_L3_MISS 14841 35318
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 17280 38483


CPU_CLK_UNHALTED 240075451 177897736
INST_RETIRED 305771682 103050506
MEM_INST_RETIRED.ALL_LOADS 45776459 50927938
MEM_INST_RETIRED.ALL_STORES 19300836 22572228
L1D.REPLACEMENT 331508 144569
L2_LINES_IN.ALL 147982 85102
IDQ_UOPS_NOT_DELIVERED.CORE 169846388 96106271
UOPS_ISSUED.ANY 531944638 186784353
INT_MISC.RECOVERY_CYCLES_ANY 21822318 16939669
UOPS_RETIRED.RETIRE_SLOTS 277299867 107883112
CYCLE_ACTIVITY.STALLS_MEM_ANY 21771355 14830576
EXE_ACTIVITY.BOUND_ON_STORES 596865 723306
EXE_ACTIVITY.1_PORTS_UTIL 35405870 28810360
EXE_ACTIVITY.2_PORTS_UTIL 43843393 17269904
EXE_ACTIVITY.EXE_BOUND_0_PORTS 9058859 4281603
CYCLE_ACTIVITY.STALLS_L1D_MISS 1613168 1381307
CYCLE_ACTIVITY.STALLS_L2_MISS 898071 670657
CYCLE_ACTIVITY.STALLS_L3_MISS 488173 262643
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 38986 52394
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 426616 250184


CPU_CLK_UNHALTED 435642813 151107814
INST_RETIRED 603330194 46657194
MEM_INST_RETIRED.ALL_LOADS 90722058 56953531
MEM_INST_RETIRED.ALL_STORES 37745531 24395244
L1D.REPLACEMENT 681553 270150
L2_LINES_IN.ALL 246650 129442
IDQ_UOPS_NOT_DELIVERED.CORE 310892042 163856124
UOPS_ISSUED.ANY 1030726653 222991875
INT_MISC.RECOVERY_CYCLES_ANY 39667462 27280189
UOPS_RETIRED.RETIRE_SLOTS 549461096 158804742
CYCLE_ACTIVITY.STALLS_MEM_ANY 42029804 25606723
EXE_ACTIVITY.BOUND_ON_STORES 1248199 767262
EXE_ACTIVITY.1_PORTS_UTIL 66506122 47134361
EXE_ACTIVITY.2_PORTS_UTIL 84627803 32769534
EXE_ACTIVITY.EXE_BOUND_0_PORTS 14649798 6579266
CYCLE_ACTIVITY.STALLS_L1D_MISS 3119900 2654221
CYCLE_ACTIVITY.STALLS_L2_MISS 1969325 1909034
CYCLE_ACTIVITY.STALLS_L3_MISS 1194740 701723
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 92215 63599
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1167004 695063


CPU_CLK_UNHALTED 631442349 257556369
INST_RETIRED 900635752 247717416
MEM_INST_RETIRED.ALL_LOADS 135053580 67297990
MEM_INST_RETIRED.ALL_STORES 56034719 28226144
L1D.REPLACEMENT 970621 394600
L2_LINES_IN.ALL 349552 177585
IDQ_UOPS_NOT_DELIVERED.CORE 451564452 233770098
UOPS_ISSUED.ANY 1527588211 244298795
INT_MISC.RECOVERY_CYCLES_ANY 57799344 40995646
UOPS_RETIRED.RETIRE_SLOTS 821594486 58651444
CYCLE_ACTIVITY.STALLS_MEM_ANY 61542734 36202939
EXE_ACTIVITY.BOUND_ON_STORES 1867909 893952
EXE_ACTIVITY.1_PORTS_UTIL 98211427 71105995
EXE_ACTIVITY.2_PORTS_UTIL 125332372 48163472
EXE_ACTIVITY.EXE_BOUND_0_PORTS 20294116 8885577
CYCLE_ACTIVITY.STALLS_L1D_MISS 4745154 3051772
CYCLE_ACTIVITY.STALLS_L2_MISS 3199203 2071865
CYCLE_ACTIVITY.STALLS_L3_MISS 1986726 961862
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 145265 72471
