here
CPU_CLK_UNHALTED 46089677 280492
INST_RETIRED 12976851 126996
MEM_INST_RETIRED.ALL_LOADS 3747771 48016
MEM_INST_RETIRED.ALL_STORES 847342 19068
L1D.REPLACEMENT 1026369 17325
L2_LINES_IN.ALL 755819 31063
IDQ_UOPS_NOT_DELIVERED.CORE 25756160 771583
UOPS_ISSUED.ANY 30316270 489442
INT_MISC.RECOVERY_CYCLES_ANY 2084194 45507
UOPS_RETIRED.RETIRE_SLOTS 8303614 59206
CYCLE_ACTIVITY.STALLS_MEM_ANY 10386603 150679
EXE_ACTIVITY.BOUND_ON_STORES 197734 4422
EXE_ACTIVITY.1_PORTS_UTIL 3179718 37130
EXE_ACTIVITY.2_PORTS_UTIL 1960304 11292
EXE_ACTIVITY.EXE_BOUND_0_PORTS 83251 504
CYCLE_ACTIVITY.STALLS_L1D_MISS 3532636 12212
CYCLE_ACTIVITY.STALLS_L2_MISS 2463033 0
CYCLE_ACTIVITY.STALLS_L3_MISS 435215 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7905 0


CPU_CLK_UNHALTED 240302519 4746344
INST_RETIRED 74181630 3013301
MEM_INST_RETIRED.ALL_LOADS 22524715 1010098
MEM_INST_RETIRED.ALL_STORES 4180516 338439
L1D.REPLACEMENT 6616339 204060
L2_LINES_IN.ALL 5208032 405853
IDQ_UOPS_NOT_DELIVERED.CORE 187247308 10806557
UOPS_ISSUED.ANY 233592227 8090081
INT_MISC.RECOVERY_CYCLES_ANY 18022028 984022
UOPS_RETIRED.RETIRE_SLOTS 73478964 1252453
CYCLE_ACTIVITY.STALLS_MEM_ANY 91350646 5833456
EXE_ACTIVITY.BOUND_ON_STORES 1922117 230161
EXE_ACTIVITY.1_PORTS_UTIL 38454867 1108757
EXE_ACTIVITY.2_PORTS_UTIL 26890364 764087
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1550346 188615
CYCLE_ACTIVITY.STALLS_L1D_MISS 68518069 4573044
CYCLE_ACTIVITY.STALLS_L2_MISS 59018252 4831058
CYCLE_ACTIVITY.STALLS_L3_MISS 17499724 1314076
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 292 408
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 25964843 937611


CPU_CLK_UNHALTED 426810447 9895634
INST_RETIRED 131985373 5846631
MEM_INST_RETIRED.ALL_LOADS 40623978 1964097
MEM_INST_RETIRED.ALL_STORES 7287875 623354
L1D.REPLACEMENT 12046790 440294
L2_LINES_IN.ALL 9729067 761954
IDQ_UOPS_NOT_DELIVERED.CORE 338502973 21215520
UOPS_ISSUED.ANY 431539317 16510069
INT_MISC.RECOVERY_CYCLES_ANY 33132082 2092340
UOPS_RETIRED.RETIRE_SLOTS 135202507 3620261
CYCLE_ACTIVITY.STALLS_MEM_ANY 181464975 12280306
EXE_ACTIVITY.BOUND_ON_STORES 3383233 236539
EXE_ACTIVITY.1_PORTS_UTIL 73144679 2471368
EXE_ACTIVITY.2_PORTS_UTIL 50487623 1982251
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3029512 227838
CYCLE_ACTIVITY.STALLS_L1D_MISS 136866619 9730540
CYCLE_ACTIVITY.STALLS_L2_MISS 123179946 8570968
CYCLE_ACTIVITY.STALLS_L3_MISS 35733055 2573983
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1293 634
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 53300616 2583397


CPU_CLK_UNHALTED 619600234 15303555
INST_RETIRED 465230664 16810816
MEM_INST_RETIRED.ALL_LOADS 122375248 27249669
MEM_INST_RETIRED.ALL_STORES 8912679 2100680
L1D.REPLACEMENT 15989706 2886007
L2_LINES_IN.ALL 13881485 1138483
IDQ_UOPS_NOT_DELIVERED.CORE 414193653 105578310
UOPS_ISSUED.ANY 848806563 128452202
INT_MISC.RECOVERY_CYCLES_ANY 40092811 13803773
UOPS_RETIRED.RETIRE_SLOTS 493064481 40781971
CYCLE_ACTIVITY.STALLS_MEM_ANY 234587665 52821512
EXE_ACTIVITY.BOUND_ON_STORES 9939299 5640640
EXE_ACTIVITY.1_PORTS_UTIL 91179592 22911876
EXE_ACTIVITY.2_PORTS_UTIL 74027654 21437965
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3799131 516309
CYCLE_ACTIVITY.STALLS_L1D_MISS 174769954 24458594
CYCLE_ACTIVITY.STALLS_L2_MISS 155759193 29734665
CYCLE_ACTIVITY.STALLS_L3_MISS 45442202 10611006
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1952 903
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 67092824 15804242


CPU_CLK_UNHALTED 785905889 64143165
INST_RETIRED 562162491 136363096
MEM_INST_RETIRED.ALL_LOADS 142131865 87778707
MEM_INST_RETIRED.ALL_STORES 11927723 3536503
L1D.REPLACEMENT 20796421 3885237
L2_LINES_IN.ALL 18183895 1678481
IDQ_UOPS_NOT_DELIVERED.CORE 529139927 199525590
UOPS_ISSUED.ANY 1026891267 193720567
INT_MISC.RECOVERY_CYCLES_ANY 52029199 21591821
UOPS_RETIRED.RETIRE_SLOTS 585918262 179083699
CYCLE_ACTIVITY.STALLS_MEM_ANY 310001936 84672343
EXE_ACTIVITY.BOUND_ON_STORES 11293434 5936997
EXE_ACTIVITY.1_PORTS_UTIL 115759879 43362173
EXE_ACTIVITY.2_PORTS_UTIL 91576110 34253129
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5063126 800320
CYCLE_ACTIVITY.STALLS_L1D_MISS 232563224 38193544
CYCLE_ACTIVITY.STALLS_L2_MISS 208130393 45670967
CYCLE_ACTIVITY.STALLS_L3_MISS 57814927 20162384
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 4074 1718
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 88039358 30792292


CPU_CLK_UNHALTED 975220258 75552605
INST_RETIRED 618446796 177231514
MEM_INST_RETIRED.ALL_LOADS 160885315 86771387
MEM_INST_RETIRED.ALL_STORES 14752019 4341093
L1D.REPLACEMENT 26278016 4587622
L2_LINES_IN.ALL 23156648 2211249
IDQ_UOPS_NOT_DELIVERED.CORE 686801281 227954034
UOPS_ISSUED.ANY 1233101273 230492943
INT_MISC.RECOVERY_CYCLES_ANY 68056178 21222375
UOPS_RETIRED.RETIRE_SLOTS 647345379 208196756
CYCLE_ACTIVITY.STALLS_MEM_ANY 403663995 102022217
EXE_ACTIVITY.BOUND_ON_STORES 12503992 6056954
EXE_ACTIVITY.1_PORTS_UTIL 150923861 50874853
EXE_ACTIVITY.2_PORTS_UTIL 115876830 38340169
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6256381 1082221
CYCLE_ACTIVITY.STALLS_L1D_MISS 305718194 49632489
CYCLE_ACTIVITY.STALLS_L2_MISS 277290230 58284654
CYCLE_ACTIVITY.STALLS_L3_MISS 78160720 23947726
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 4916 1850
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 117880499 37734826


CPU_CLK_UNHALTED 1161453472 85758527
INST_RETIRED 676986276 212966200
MEM_INST_RETIRED.ALL_LOADS 179688086 87831723
MEM_INST_RETIRED.ALL_STORES 17402169 5764464
L1D.REPLACEMENT 31205740 8262245
L2_LINES_IN.ALL 28144112 2774262
IDQ_UOPS_NOT_DELIVERED.CORE 839909429 250786442
UOPS_ISSUED.ANY 1436436166 260322730
INT_MISC.RECOVERY_CYCLES_ANY 83335765 22165031
UOPS_RETIRED.RETIRE_SLOTS 710954535 221241416
CYCLE_ACTIVITY.STALLS_MEM_ANY 493649434 117987541
EXE_ACTIVITY.BOUND_ON_STORES 13925642 6344530
EXE_ACTIVITY.1_PORTS_UTIL 185206031 54255158
EXE_ACTIVITY.2_PORTS_UTIL 140061953 40837073
EXE_ACTIVITY.EXE_BOUND_0_PORTS 7408947 1364060
CYCLE_ACTIVITY.STALLS_L1D_MISS 370101073 74902697
CYCLE_ACTIVITY.STALLS_L2_MISS 337888484 83866895
CYCLE_ACTIVITY.STALLS_L3_MISS 95884951 26055255
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 5913 2162
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 145942203 43242362


CPU_CLK_UNHALTED 1331452203 131541122
INST_RETIRED 1136668911 281450001
MEM_INST_RETIRED.ALL_LOADS 235630420 74071458
MEM_INST_RETIRED.ALL_STORES 22773340 37879413
L1D.REPLACEMENT 33431528 12024724
L2_LINES_IN.ALL 30424552 4828062
IDQ_UOPS_NOT_DELIVERED.CORE 880265235 186525204
UOPS_ISSUED.ANY 1943486345 215288771
INT_MISC.RECOVERY_CYCLES_ANY 87407324 30744395
UOPS_RETIRED.RETIRE_SLOTS 1156526178 75440192
CYCLE_ACTIVITY.STALLS_MEM_ANY 520686864 188675729
EXE_ACTIVITY.BOUND_ON_STORES 22517084 10300521
EXE_ACTIVITY.1_PORTS_UTIL 193546847 85914444
EXE_ACTIVITY.2_PORTS_UTIL 158709318 49452813
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8159262 1900318
CYCLE_ACTIVITY.STALLS_L1D_MISS 387719393 105248716
CYCLE_ACTIVITY.STALLS_L2_MISS 352003266 117706921
CYCLE_ACTIVITY.STALLS_L3_MISS 102093246 32779732
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 6464 2385
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 155735132 59238783


CPU_CLK_UNHALTED 1517124874 145707793
INST_RETIRED 1193619737 358999014
MEM_INST_RETIRED.ALL_LOADS 253989152 81579136
MEM_INST_RETIRED.ALL_STORES 25320370 29672396
L1D.REPLACEMENT 38819259 13156131
L2_LINES_IN.ALL 34970762 5700834
IDQ_UOPS_NOT_DELIVERED.CORE 1034769323 213486033
UOPS_ISSUED.ANY 2140115233 269034597
INT_MISC.RECOVERY_CYCLES_ANY 102782286 35752699
UOPS_RETIRED.RETIRE_SLOTS 1200361939 193112393
CYCLE_ACTIVITY.STALLS_MEM_ANY 607688903 208973746
EXE_ACTIVITY.BOUND_ON_STORES 23880682 10463809
EXE_ACTIVITY.1_PORTS_UTIL 227283911 90245468
EXE_ACTIVITY.2_PORTS_UTIL 183463000 56543707
EXE_ACTIVITY.EXE_BOUND_0_PORTS 9529201 2229248
CYCLE_ACTIVITY.STALLS_L1D_MISS 455040569 121052372
CYCLE_ACTIVITY.STALLS_L2_MISS 414697138 134620929
CYCLE_ACTIVITY.STALLS_L3_MISS 120955369 38286784
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 6975 2391
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 183130289 67379620


CPU_CLK_UNHALTED 1704137512 156843115
INST_RETIRED 1250299616 428043152
MEM_INST_RETIRED.ALL_LOADS 272787743 86458277
MEM_INST_RETIRED.ALL_STORES 28307919 25674385
L1D.REPLACEMENT 44409484 14459089
L2_LINES_IN.ALL 40120337 6479398
IDQ_UOPS_NOT_DELIVERED.CORE 1192951093 240935542
UOPS_ISSUED.ANY 2344643079 306970778
INT_MISC.RECOVERY_CYCLES_ANY 118765627 39223226
UOPS_RETIRED.RETIRE_SLOTS 1261828291 303450633
CYCLE_ACTIVITY.STALLS_MEM_ANY 698164728 228406305
EXE_ACTIVITY.BOUND_ON_STORES 25005379 10644565
EXE_ACTIVITY.1_PORTS_UTIL 262724490 98211357
EXE_ACTIVITY.2_PORTS_UTIL 208278489 63607093
EXE_ACTIVITY.EXE_BOUND_0_PORTS 10665178 2548962
CYCLE_ACTIVITY.STALLS_L1D_MISS 524397730 136306387
CYCLE_ACTIVITY.STALLS_L2_MISS 477864888 150740484
CYCLE_ACTIVITY.STALLS_L3_MISS 140878547 43626854
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 7803 2573
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 212197837 75318479


CPU_CLK_UNHALTED 1889462573 168873033
INST_RETIRED 1387039788 453859901
MEM_INST_RETIRED.ALL_LOADS 294711439 90102254
MEM_INST_RETIRED.ALL_STORES 31547378 22974625
L1D.REPLACEMENT 49287353 16352158
L2_LINES_IN.ALL 44372978 7806432
IDQ_UOPS_NOT_DELIVERED.CORE 1320412562 275259062
UOPS_ISSUED.ANY 2602340982 324678210
INT_MISC.RECOVERY_CYCLES_ANY 131380965 43515929
UOPS_RETIRED.RETIRE_SLOTS 1402287306 238013392
CYCLE_ACTIVITY.STALLS_MEM_ANY 774254865 252945932
EXE_ACTIVITY.BOUND_ON_STORES 29348260 11340210
EXE_ACTIVITY.1_PORTS_UTIL 291883594 110108830
EXE_ACTIVITY.2_PORTS_UTIL 230144214 70741195
EXE_ACTIVITY.EXE_BOUND_0_PORTS 11685756 2910144
CYCLE_ACTIVITY.STALLS_L1D_MISS 583321192 154453142
CYCLE_ACTIVITY.STALLS_L2_MISS 533139185 169638711
CYCLE_ACTIVITY.STALLS_L3_MISS 155489304 49702888
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 8731 2544
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 233163175 83432148


CPU_CLK_UNHALTED 2040815931 267389945
INST_RETIRED 1690277542 370735632
