here
CPU_CLK_UNHALTED 36543490 107622
INST_RETIRED 1612513 4904
MEM_INST_RETIRED.ALL_LOADS 211775 748
MEM_INST_RETIRED.ALL_STORES 0 0
L1D.REPLACEMENT 14 7
L2_LINES_IN.ALL 8 0
IDQ_UOPS_NOT_DELIVERED.CORE 19173 4650
UOPS_ISSUED.ANY 1440065 3289
INT_MISC.RECOVERY_CYCLES_ANY 1803 130
UOPS_RETIRED.RETIRE_SLOTS 1000086 547
CYCLE_ACTIVITY.STALLS_MEM_ANY 389847 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 84974 0
EXE_ACTIVITY.2_PORTS_UTIL 10052 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 196579179 3494985
INST_RETIRED 10322839 896742
MEM_INST_RETIRED.ALL_LOADS 1902872 654823
MEM_INST_RETIRED.ALL_STORES 738131 499381
L1D.REPLACEMENT 483895 329491
L2_LINES_IN.ALL 1566097 973740
IDQ_UOPS_NOT_DELIVERED.CORE 10930427 6681041
UOPS_ISSUED.ANY 22167080 4774820
INT_MISC.RECOVERY_CYCLES_ANY 656885 410499
UOPS_RETIRED.RETIRE_SLOTS 14103185 209089
CYCLE_ACTIVITY.STALLS_MEM_ANY 69336033 36995483
EXE_ACTIVITY.BOUND_ON_STORES 1571 2373
EXE_ACTIVITY.1_PORTS_UTIL 4167788 538120
EXE_ACTIVITY.2_PORTS_UTIL 2525382 600421
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1142240 454967
CYCLE_ACTIVITY.STALLS_L1D_MISS 35523946 14910002
CYCLE_ACTIVITY.STALLS_L2_MISS 37231775 15085647
CYCLE_ACTIVITY.STALLS_L3_MISS 894828 428845
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1029266 500146


CPU_CLK_UNHALTED 344856395 52304592
INST_RETIRED 48293382 25614612
MEM_INST_RETIRED.ALL_LOADS 11239483 10047513
MEM_INST_RETIRED.ALL_STORES 13059290 18252348
L1D.REPLACEMENT 1842136 860028
L2_LINES_IN.ALL 4008412 1854676
