here
CPU_CLK_UNHALTED 50459671 518975
INST_RETIRED 26126253 1511201
MEM_INST_RETIRED.ALL_LOADS 4197307 649415
MEM_INST_RETIRED.ALL_STORES 38493 12859
L1D.REPLACEMENT 544542 35843
L2_LINES_IN.ALL 838729 38393
IDQ_UOPS_NOT_DELIVERED.CORE 32836008 1837148
UOPS_ISSUED.ANY 45421994 834413
INT_MISC.RECOVERY_CYCLES_ANY 5182113 322566
UOPS_RETIRED.RETIRE_SLOTS 11588905 132716
CYCLE_ACTIVITY.STALLS_MEM_ANY 9512169 192947
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3277253 41105
EXE_ACTIVITY.2_PORTS_UTIL 1956448 65017
EXE_ACTIVITY.EXE_BOUND_0_PORTS 291007 5106
CYCLE_ACTIVITY.STALLS_L1D_MISS 2970841 2251
CYCLE_ACTIVITY.STALLS_L2_MISS 1899822 0
CYCLE_ACTIVITY.STALLS_L3_MISS 570076 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 2 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 12255 0


CPU_CLK_UNHALTED 256767676 2164337
INST_RETIRED 140119539 6334598
MEM_INST_RETIRED.ALL_LOADS 22278483 2437003
MEM_INST_RETIRED.ALL_STORES 188834 42645
L1D.REPLACEMENT 3017732 250218
L2_LINES_IN.ALL 4874384 496289
IDQ_UOPS_NOT_DELIVERED.CORE 228986423 14101922
UOPS_ISSUED.ANY 332163334 11583467
INT_MISC.RECOVERY_CYCLES_ANY 39419162 3202217
UOPS_RETIRED.RETIRE_SLOTS 109893793 4185751
CYCLE_ACTIVITY.STALLS_MEM_ANY 92850633 7874539
EXE_ACTIVITY.BOUND_ON_STORES 7686 9868
EXE_ACTIVITY.1_PORTS_UTIL 39606070 698333
EXE_ACTIVITY.2_PORTS_UTIL 26128059 1812167
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5334591 331034
CYCLE_ACTIVITY.STALLS_L1D_MISS 56112697 4322627
CYCLE_ACTIVITY.STALLS_L2_MISS 55960128 5851509
CYCLE_ACTIVITY.STALLS_L3_MISS 31875122 6850232
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 17642 8467
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 45083302 6581243


CPU_CLK_UNHALTED 454036328 8205584
INST_RETIRED 258784285 12210180
MEM_INST_RETIRED.ALL_LOADS 41926308 4711685
MEM_INST_RETIRED.ALL_STORES 314525 40900
L1D.REPLACEMENT 5510771 499773
L2_LINES_IN.ALL 8701984 1014129
IDQ_UOPS_NOT_DELIVERED.CORE 427029391 27717348
UOPS_ISSUED.ANY 596906690 35386904
INT_MISC.RECOVERY_CYCLES_ANY 68373208 7836015
