here
CPU_CLK_UNHALTED 39348796 866941
CYCLE_ACTIVITY.STALLS_L1D_MISS 1392649 206354
CYCLE_ACTIVITY.STALLS_L2_MISS 974749 204624
CYCLE_ACTIVITY.STALLS_L3_MISS 559762 121996
CYCLE_ACTIVITY.STALLS_MEM_ANY 3272421 192470
EXE_ACTIVITY.1_PORTS_UTIL 4097889 348283
EXE_ACTIVITY.2_PORTS_UTIL 4975130 353170
EXE_ACTIVITY.BOUND_ON_STORES 62548 26643
EXE_ACTIVITY.EXE_BOUND_0_PORTS 422710 49345
IDQ_UOPS_NOT_DELIVERED.CORE 30477155 2823970
INST_RETIRED 38299702 1751337
INT_MISC.RECOVERY_CYCLES_ANY 538314 90694
L1D.REPLACEMENT 232204 20481
L2_LINES_IN.ALL 56928 4999
MEM_INST_RETIRED.ALL_LOADS 6146810 156529
MEM_INST_RETIRED.ALL_STORES 2914673 1247
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 97347 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1705 0
UOPS_ISSUED.ANY 4721971 0
UOPS_RETIRED.RETIRE_SLOTS 106456 0


CPU_CLK_UNHALTED 225281048 14076983
CYCLE_ACTIVITY.STALLS_L1D_MISS 7778667 1052652
CYCLE_ACTIVITY.STALLS_L2_MISS 3955278 1041655
CYCLE_ACTIVITY.STALLS_L3_MISS 1649101 669878
CYCLE_ACTIVITY.STALLS_MEM_ANY 28076024 3377587
EXE_ACTIVITY.1_PORTS_UTIL 31808839 2579036
EXE_ACTIVITY.2_PORTS_UTIL 40194049 2533471
EXE_ACTIVITY.BOUND_ON_STORES 346225 76820
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4062727 303416
IDQ_UOPS_NOT_DELIVERED.CORE 333607946 29147817
INST_RETIRED 339486517 16936567
INT_MISC.RECOVERY_CYCLES_ANY 7795682 1035077
L1D.REPLACEMENT 3166595 286099
L2_LINES_IN.ALL 675262 105366
MEM_INST_RETIRED.ALL_LOADS 98512043 3589396
MEM_INST_RETIRED.ALL_STORES 58991248 1984174
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1721739 612317
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 3487 14102
UOPS_ISSUED.ANY 370086433 8498147
UOPS_RETIRED.RETIRE_SLOTS 313029449 11852266


CPU_CLK_UNHALTED 409896478 25562838
CYCLE_ACTIVITY.STALLS_L1D_MISS 10198860 3240306
CYCLE_ACTIVITY.STALLS_L2_MISS 4787075 2385429
CYCLE_ACTIVITY.STALLS_L3_MISS 1920139 716754
CYCLE_ACTIVITY.STALLS_MEM_ANY 43195438 8622386
EXE_ACTIVITY.1_PORTS_UTIL 57042857 5074493
EXE_ACTIVITY.2_PORTS_UTIL 78695497 5655700
EXE_ACTIVITY.BOUND_ON_STORES 674180 148459
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5774456 1251491
IDQ_UOPS_NOT_DELIVERED.CORE 585139825 61663249
INST_RETIRED 739953936 95381810
INT_MISC.RECOVERY_CYCLES_ANY 10798342 3335336
L1D.REPLACEMENT 5994191 582279
L2_LINES_IN.ALL 961785 332018
MEM_INST_RETIRED.ALL_LOADS 217171861 17964528
MEM_INST_RETIRED.ALL_STORES 129883262 10719650
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2112150 780989
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 8925 14136
UOPS_ISSUED.ANY 792532924 42853983
UOPS_RETIRED.RETIRE_SLOTS 707425561 62599248


CPU_CLK_UNHALTED 591699601 35927034
CYCLE_ACTIVITY.STALLS_L1D_MISS 14168713 5275652
CYCLE_ACTIVITY.STALLS_L2_MISS 7212907 2697261
CYCLE_ACTIVITY.STALLS_L3_MISS 3159004 908964
CYCLE_ACTIVITY.STALLS_MEM_ANY 59712839 14409676
EXE_ACTIVITY.1_PORTS_UTIL 81389623 7778132
EXE_ACTIVITY.2_PORTS_UTIL 115955498 9091890
EXE_ACTIVITY.BOUND_ON_STORES 867908 258212
EXE_ACTIVITY.EXE_BOUND_0_PORTS 7335879 2405064
IDQ_UOPS_NOT_DELIVERED.CORE 826674332 97941308
INST_RETIRED 1141984197 167937940
INT_MISC.RECOVERY_CYCLES_ANY 13453874 5803647
L1D.REPLACEMENT 8313161 1713134
L2_LINES_IN.ALL 1279829 453348
MEM_INST_RETIRED.ALL_LOADS 333111530 34769241
MEM_INST_RETIRED.ALL_STORES 198158419 19062892
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3836612 1035249
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 13042 13023
UOPS_ISSUED.ANY 1210487683 79789755
UOPS_RETIRED.RETIRE_SLOTS 1104358225 123425517


CPU_CLK_UNHALTED 770454934 44758058
CYCLE_ACTIVITY.STALLS_L1D_MISS 20829446 8447532
CYCLE_ACTIVITY.STALLS_L2_MISS 9053532 3196507
CYCLE_ACTIVITY.STALLS_L3_MISS 4518185 1096111
CYCLE_ACTIVITY.STALLS_MEM_ANY 79620100 18691536
EXE_ACTIVITY.1_PORTS_UTIL 109073431 10540848
EXE_ACTIVITY.2_PORTS_UTIL 152385711 11694719
EXE_ACTIVITY.BOUND_ON_STORES 1108843 396681
EXE_ACTIVITY.EXE_BOUND_0_PORTS 9558414 3353184
IDQ_UOPS_NOT_DELIVERED.CORE 1095784639 123995014
INST_RETIRED 1505435525 17389149
INT_MISC.RECOVERY_CYCLES_ANY 16498833 7096959
L1D.REPLACEMENT 11321884 2279304
L2_LINES_IN.ALL 1669828 573002
MEM_INST_RETIRED.ALL_LOADS 439629391 46637737
MEM_INST_RETIRED.ALL_STORES 259765024 25114370
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 5724554 1268075
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 31628 31227
UOPS_ISSUED.ANY 1592146540 108133426
UOPS_RETIRED.RETIRE_SLOTS 1461605967 161001679


CPU_CLK_UNHALTED 956256106 54791324
CYCLE_ACTIVITY.STALLS_L1D_MISS 38604223 38974336
CYCLE_ACTIVITY.STALLS_L2_MISS 10365424 3926878
CYCLE_ACTIVITY.STALLS_L3_MISS 5197984 1423891
CYCLE_ACTIVITY.STALLS_MEM_ANY 118281179 50007622
EXE_ACTIVITY.1_PORTS_UTIL 140265626 17052289
EXE_ACTIVITY.2_PORTS_UTIL 184092081 17405756
EXE_ACTIVITY.BOUND_ON_STORES 1498935 530012
EXE_ACTIVITY.EXE_BOUND_0_PORTS 11175029 4510523
IDQ_UOPS_NOT_DELIVERED.CORE 1291838686 226737877
INST_RETIRED 1836991756 85277099
INT_MISC.RECOVERY_CYCLES_ANY 19729711 8443076
L1D.REPLACEMENT 19894777 13675776
L2_LINES_IN.ALL 1966361 742771
MEM_INST_RETIRED.ALL_LOADS 542424207 59387887
MEM_INST_RETIRED.ALL_STORES 309225344 41673290
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7224832 1462609
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 42373 32427
UOPS_ISSUED.ANY 1933443318 186375355
UOPS_RETIRED.RETIRE_SLOTS 1774675402 221958211


CPU_CLK_UNHALTED 1139739590 63322072
CYCLE_ACTIVITY.STALLS_L1D_MISS 46909712 35532432
CYCLE_ACTIVITY.STALLS_L2_MISS 12385725 5174252
CYCLE_ACTIVITY.STALLS_L3_MISS 7009485 1812473
CYCLE_ACTIVITY.STALLS_MEM_ANY 141271442 57393825
EXE_ACTIVITY.1_PORTS_UTIL 168625007 21275412
EXE_ACTIVITY.2_PORTS_UTIL 218897554 19790753
EXE_ACTIVITY.BOUND_ON_STORES 1824146 650259
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13423821 5409472
IDQ_UOPS_NOT_DELIVERED.CORE 1544222819 272801701
INST_RETIRED 2199356590 102397784
INT_MISC.RECOVERY_CYCLES_ANY 22998406 9969304
L1D.REPLACEMENT 24505484 12732076
L2_LINES_IN.ALL 2462102 925748
MEM_INST_RETIRED.ALL_LOADS 652295141 71156358
MEM_INST_RETIRED.ALL_STORES 371190258 49081507
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 9097571 1954148
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 152831 160251
UOPS_ISSUED.ANY 2317479724 216497909
UOPS_RETIRED.RETIRE_SLOTS 2120800690 257142792


CPU_CLK_UNHALTED 1322869404 70766430
CYCLE_ACTIVITY.STALLS_L1D_MISS 54562429 36200497
CYCLE_ACTIVITY.STALLS_L2_MISS 16583733 6974744
CYCLE_ACTIVITY.STALLS_L3_MISS 9583574 2474310
CYCLE_ACTIVITY.STALLS_MEM_ANY 167460424 64416772
EXE_ACTIVITY.1_PORTS_UTIL 194978408 23608042
EXE_ACTIVITY.2_PORTS_UTIL 252398344 22203578
EXE_ACTIVITY.BOUND_ON_STORES 2158590 759894
EXE_ACTIVITY.EXE_BOUND_0_PORTS 16776736 6126695
IDQ_UOPS_NOT_DELIVERED.CORE 1824657305 305375209
INST_RETIRED 2499439259 166892095
INT_MISC.RECOVERY_CYCLES_ANY 30062577 12376308
L1D.REPLACEMENT 27541227 12775507
L2_LINES_IN.ALL 3011541 1096567
MEM_INST_RETIRED.ALL_LOADS 739294870 84313797
MEM_INST_RETIRED.ALL_STORES 425683175 56139534
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 12418681 2851943
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 157333 169701
UOPS_ISSUED.ANY 2662440387 255773493
UOPS_RETIRED.RETIRE_SLOTS 2427894864 300855449


CPU_CLK_UNHALTED 1504590413 79151623
CYCLE_ACTIVITY.STALLS_L1D_MISS 61482967 37383832
CYCLE_ACTIVITY.STALLS_L2_MISS 20191515 8373895
CYCLE_ACTIVITY.STALLS_L3_MISS 11628694 2727266
CYCLE_ACTIVITY.STALLS_MEM_ANY 192388334 71526559
EXE_ACTIVITY.1_PORTS_UTIL 221807845 26208882
EXE_ACTIVITY.2_PORTS_UTIL 286085814 24799236
