here
CPU_CLK_UNHALTED 12842181 13200
CYCLE_ACTIVITY.STALLS_L1D_MISS 206445 3263
CYCLE_ACTIVITY.STALLS_L2_MISS 68016 2468
CYCLE_ACTIVITY.STALLS_L3_MISS 45867 2009
CYCLE_ACTIVITY.STALLS_MEM_ANY 166764 5742
EXE_ACTIVITY.1_PORTS_UTIL 1383094 5862
EXE_ACTIVITY.2_PORTS_UTIL 720064 2703
EXE_ACTIVITY.BOUND_ON_STORES 4223032 21704
EXE_ACTIVITY.EXE_BOUND_0_PORTS 383912 2859
IDQ_UOPS_NOT_DELIVERED.CORE 1731615 10297
INST_RETIRED 662501 4914
INT_MISC.RECOVERY_CYCLES_ANY 197093 1680
L1D.REPLACEMENT 222560 1364
L2_LINES_IN.ALL 142227 697
MEM_INST_RETIRED.ALL_LOADS 0 0
MEM_INST_RETIRED.ALL_STORES 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0


CPU_CLK_UNHALTED 66687427 177533
CYCLE_ACTIVITY.STALLS_L1D_MISS 1040371 63952
CYCLE_ACTIVITY.STALLS_L2_MISS 319837 46690
CYCLE_ACTIVITY.STALLS_L3_MISS 216453 36529
CYCLE_ACTIVITY.STALLS_MEM_ANY 912933 91401
EXE_ACTIVITY.1_PORTS_UTIL 9300408 25395
EXE_ACTIVITY.2_PORTS_UTIL 5146840 9707
EXE_ACTIVITY.BOUND_ON_STORES 32295319 128677
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3216005 22843
IDQ_UOPS_NOT_DELIVERED.CORE 15829947 128421
INST_RETIRED 6557479 24568
INT_MISC.RECOVERY_CYCLES_ANY 2173663 10859
L1D.REPLACEMENT 2771859 14694
L2_LINES_IN.ALL 2037089 7029
MEM_INST_RETIRED.ALL_LOADS 21642 82
MEM_INST_RETIRED.ALL_STORES 4969035 8521
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 192838 33825
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 23728544 17260
UOPS_RETIRED.RETIRE_SLOTS 18604538 17284


CPU_CLK_UNHALTED 158456876 63893338
CYCLE_ACTIVITY.STALLS_L1D_MISS 1774248 333493
CYCLE_ACTIVITY.STALLS_L2_MISS 632236 120866
CYCLE_ACTIVITY.STALLS_L3_MISS 422639 88998
CYCLE_ACTIVITY.STALLS_MEM_ANY 17323220 22701436
EXE_ACTIVITY.1_PORTS_UTIL 26740371 10415921
EXE_ACTIVITY.2_PORTS_UTIL 21048581 10515500
EXE_ACTIVITY.BOUND_ON_STORES 41481250 15844676
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6230196 356274
IDQ_UOPS_NOT_DELIVERED.CORE 28364365 1948692
INST_RETIRED 136429069 75903769
INT_MISC.RECOVERY_CYCLES_ANY 3617734 477429
L1D.REPLACEMENT 3821988 1091652
