here
CPU_CLK_UNHALTED 42890216 1626416
CYCLE_ACTIVITY.STALLS_L1D_MISS 157238 6299
CYCLE_ACTIVITY.STALLS_L2_MISS 77340 7258
CYCLE_ACTIVITY.STALLS_L3_MISS 63297 7325
CYCLE_ACTIVITY.STALLS_MEM_ANY 3127609 172885
EXE_ACTIVITY.1_PORTS_UTIL 9606292 116031
EXE_ACTIVITY.2_PORTS_UTIL 7311744 141480
EXE_ACTIVITY.BOUND_ON_STORES 3617 2329
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1808333 69074
IDQ_UOPS_NOT_DELIVERED.CORE 3411729 39704
INST_RETIRED 30329526 281777
INT_MISC.RECOVERY_CYCLES_ANY 49487 2689
L1D.REPLACEMENT 310508 6555
L2_LINES_IN.ALL 30759 716
MEM_INST_RETIRED.ALL_LOADS 3556687 32113
MEM_INST_RETIRED.ALL_STORES 1259212 3165
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 14011 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 3513963 0
UOPS_RETIRED.RETIRE_SLOTS 99923 0


CPU_CLK_UNHALTED 222923050 6366391
CYCLE_ACTIVITY.STALLS_L1D_MISS 793106 52356
CYCLE_ACTIVITY.STALLS_L2_MISS 344296 37160
CYCLE_ACTIVITY.STALLS_L3_MISS 312546 27960
CYCLE_ACTIVITY.STALLS_MEM_ANY 20011300 640063
EXE_ACTIVITY.1_PORTS_UTIL 64345736 514227
EXE_ACTIVITY.2_PORTS_UTIL 53685063 564177
EXE_ACTIVITY.BOUND_ON_STORES 9078 10020
EXE_ACTIVITY.EXE_BOUND_0_PORTS 15257023 546202
IDQ_UOPS_NOT_DELIVERED.CORE 30204880 328080
INST_RETIRED 297656023 5595856
INT_MISC.RECOVERY_CYCLES_ANY 525921 24013
L1D.REPLACEMENT 3809528 75777
L2_LINES_IN.ALL 427848 13713
MEM_INST_RETIRED.ALL_LOADS 59535149 1084488
MEM_INST_RETIRED.ALL_STORES 25908217 404892
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 324157 27317
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 276451652 4491399
UOPS_RETIRED.RETIRE_SLOTS 271364069 1565950


CPU_CLK_UNHALTED 399894548 11627568
CYCLE_ACTIVITY.STALLS_L1D_MISS 1485377 164897
