here
CPU_CLK_UNHALTED 22222033 1288797
CYCLE_ACTIVITY.STALLS_L1D_MISS 120901 53862
CYCLE_ACTIVITY.STALLS_L2_MISS 88705 44442
CYCLE_ACTIVITY.STALLS_L3_MISS 116930 39323
CYCLE_ACTIVITY.STALLS_MEM_ANY 1073587 37613
EXE_ACTIVITY.1_PORTS_UTIL 3272937 114259
EXE_ACTIVITY.2_PORTS_UTIL 5582553 221924
EXE_ACTIVITY.BOUND_ON_STORES 48422 14476
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1294381 49169
IDQ_UOPS_NOT_DELIVERED.CORE 32285753 881175
INST_RETIRED 54900823 1362356
INT_MISC.RECOVERY_CYCLES_ANY 467871 14377
L1D.REPLACEMENT 9237 190
L2_LINES_IN.ALL 4677 226
MEM_INST_RETIRED.ALL_LOADS 6877978 92647
MEM_INST_RETIRED.ALL_STORES 3146210 14067
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 22879 1642
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 5522639 0
UOPS_RETIRED.RETIRE_SLOTS 141311 0


CPU_CLK_UNHALTED 216408181 5364223
CYCLE_ACTIVITY.STALLS_L1D_MISS 575576 177681
CYCLE_ACTIVITY.STALLS_L2_MISS 519143 207851
CYCLE_ACTIVITY.STALLS_L3_MISS 542313 146329
CYCLE_ACTIVITY.STALLS_MEM_ANY 8733851 174309
EXE_ACTIVITY.1_PORTS_UTIL 27607138 458292
EXE_ACTIVITY.2_PORTS_UTIL 46996504 924751
EXE_ACTIVITY.BOUND_ON_STORES 414053 66074
EXE_ACTIVITY.EXE_BOUND_0_PORTS 10775001 214024
IDQ_UOPS_NOT_DELIVERED.CORE 287737493 4202148
INST_RETIRED 537769182 8194190
INT_MISC.RECOVERY_CYCLES_ANY 5092728 104769
L1D.REPLACEMENT 110365 5712
L2_LINES_IN.ALL 69334 2045
MEM_INST_RETIRED.ALL_LOADS 114592870 1659207
MEM_INST_RETIRED.ALL_STORES 64597956 720788
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 463615 89436
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 471435412 7406020
UOPS_RETIRED.RETIRE_SLOTS 447041892 3499752


CPU_CLK_UNHALTED 334348125 67908368
CYCLE_ACTIVITY.STALLS_L1D_MISS 2167545 935555
CYCLE_ACTIVITY.STALLS_L2_MISS 1226324 577379
CYCLE_ACTIVITY.STALLS_L3_MISS 1094444 358071
CYCLE_ACTIVITY.STALLS_MEM_ANY 12341446 3200179
EXE_ACTIVITY.1_PORTS_UTIL 37877179 8361433
EXE_ACTIVITY.2_PORTS_UTIL 69670826 12708044
EXE_ACTIVITY.BOUND_ON_STORES 4793917 10069004
EXE_ACTIVITY.EXE_BOUND_0_PORTS 12240723 5277283
IDQ_UOPS_NOT_DELIVERED.CORE 302512026 75205701
INST_RETIRED 836290674 107672787
INT_MISC.RECOVERY_CYCLES_ANY 8881543 1403318
L1D.REPLACEMENT 6396737 6153291
L2_LINES_IN.ALL 150940 59426
MEM_INST_RETIRED.ALL_LOADS 199168831 71490715
MEM_INST_RETIRED.ALL_STORES 83218433 22870007
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1026360 375931
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 819857977 99487415
UOPS_RETIRED.RETIRE_SLOTS 738808356 114894102


CPU_CLK_UNHALTED 519181071 100952728
CYCLE_ACTIVITY.STALLS_L1D_MISS 4953149 2519286
CYCLE_ACTIVITY.STALLS_L2_MISS 1821068 864112
CYCLE_ACTIVITY.STALLS_L3_MISS 1456290 522211
CYCLE_ACTIVITY.STALLS_MEM_ANY 20140544 5470056
EXE_ACTIVITY.1_PORTS_UTIL 52461510 14125179
EXE_ACTIVITY.2_PORTS_UTIL 98635672 20952679
EXE_ACTIVITY.BOUND_ON_STORES 4947261 8810089
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13113796 9696101
IDQ_UOPS_NOT_DELIVERED.CORE 327043814 155201641
INST_RETIRED 1318274900 182135021
INT_MISC.RECOVERY_CYCLES_ANY 14401312 2377552
L1D.REPLACEMENT 16030620 6133758
L2_LINES_IN.ALL 285989 152254
MEM_INST_RETIRED.ALL_LOADS 343416485 111065472
MEM_INST_RETIRED.ALL_STORES 110431164 42409761
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1518186 529014
