here
CPU_CLK_UNHALTED 11088165 37489
CYCLE_ACTIVITY.STALLS_L1D_MISS 34318 1341
CYCLE_ACTIVITY.STALLS_L2_MISS 31563 1342
CYCLE_ACTIVITY.STALLS_L3_MISS 522 668
CYCLE_ACTIVITY.STALLS_MEM_ANY 147996 9211
EXE_ACTIVITY.1_PORTS_UTIL 2151396 7192
EXE_ACTIVITY.2_PORTS_UTIL 767039 7454
EXE_ACTIVITY.BOUND_ON_STORES 2066469 5164
EXE_ACTIVITY.EXE_BOUND_0_PORTS 392154 1176
IDQ_UOPS_NOT_DELIVERED.CORE 1538611 4601
INST_RETIRED 2370282 6768
INT_MISC.RECOVERY_CYCLES_ANY 207516 1605
L1D.REPLACEMENT 4006 268
L2_LINES_IN.ALL 5777 71
MEM_INST_RETIRED.ALL_LOADS 8 1
MEM_INST_RETIRED.ALL_STORES 920715 89
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 495072 0
UOPS_RETIRED.RETIRE_SLOTS 9099 0


CPU_CLK_UNHALTED 56467589 307782
CYCLE_ACTIVITY.STALLS_L1D_MISS 181254 6714
CYCLE_ACTIVITY.STALLS_L2_MISS 178087 5233
CYCLE_ACTIVITY.STALLS_L3_MISS 782842 122580
CYCLE_ACTIVITY.STALLS_MEM_ANY 903865 43519
EXE_ACTIVITY.1_PORTS_UTIL 14188585 85971
EXE_ACTIVITY.2_PORTS_UTIL 5410439 45352
EXE_ACTIVITY.BOUND_ON_STORES 15578159 85247
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3199538 18155
IDQ_UOPS_NOT_DELIVERED.CORE 13676869 87773
INST_RETIRED 23191668 164884
INT_MISC.RECOVERY_CYCLES_ANY 2244244 16871
L1D.REPLACEMENT 78959 5643
L2_LINES_IN.ALL 168071 7013
MEM_INST_RETIRED.ALL_LOADS 15 0
MEM_INST_RETIRED.ALL_STORES 18958277 151285
