here
CPU_CLK_UNHALTED 43309554 768997
CYCLE_ACTIVITY.STALLS_L1D_MISS 470420 30942
CYCLE_ACTIVITY.STALLS_L2_MISS 197800 23194
CYCLE_ACTIVITY.STALLS_L3_MISS 95599 14199
CYCLE_ACTIVITY.STALLS_MEM_ANY 2366421 105441
EXE_ACTIVITY.1_PORTS_UTIL 3789613 171206
EXE_ACTIVITY.2_PORTS_UTIL 5686457 159493
EXE_ACTIVITY.BOUND_ON_STORES 43325 4838
EXE_ACTIVITY.EXE_BOUND_0_PORTS 265885 8998
IDQ_UOPS_NOT_DELIVERED.CORE 21175327 573408
INST_RETIRED 48609790 898687
INT_MISC.RECOVERY_CYCLES_ANY 333631 7466
L1D.REPLACEMENT 189521 1696
L2_LINES_IN.ALL 28238 471
MEM_INST_RETIRED.ALL_LOADS 6713082 47544
MEM_INST_RETIRED.ALL_STORES 2943524 554
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 32300 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 5998365 0
UOPS_RETIRED.RETIRE_SLOTS 93606 0


CPU_CLK_UNHALTED 198644075 2287251
CYCLE_ACTIVITY.STALLS_L1D_MISS 2250818 155445
CYCLE_ACTIVITY.STALLS_L2_MISS 971274 111081
CYCLE_ACTIVITY.STALLS_L3_MISS 476634 82955
CYCLE_ACTIVITY.STALLS_MEM_ANY 13406283 351030
EXE_ACTIVITY.1_PORTS_UTIL 23072380 730682
EXE_ACTIVITY.2_PORTS_UTIL 35448966 772689
EXE_ACTIVITY.BOUND_ON_STORES 284040 31957
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1894889 47082
IDQ_UOPS_NOT_DELIVERED.CORE 162023342 4003089
INST_RETIRED 416350158 8192172
INT_MISC.RECOVERY_CYCLES_ANY 3206878 58856
L1D.REPLACEMENT 2078651 31870
L2_LINES_IN.ALL 355245 7578
MEM_INST_RETIRED.ALL_LOADS 98938617 1596173
MEM_INST_RETIRED.ALL_STORES 52525053 746359
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 504928 88357
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 403951928 1961619
UOPS_RETIRED.RETIRE_SLOTS 374224192 1813395


CPU_CLK_UNHALTED 371389392 11665342
CYCLE_ACTIVITY.STALLS_L1D_MISS 4466969 413608
CYCLE_ACTIVITY.STALLS_L2_MISS 2037789 142406
CYCLE_ACTIVITY.STALLS_L3_MISS 974159 89166
CYCLE_ACTIVITY.STALLS_MEM_ANY 25599172 870183
EXE_ACTIVITY.1_PORTS_UTIL 44471630 1746571
EXE_ACTIVITY.2_PORTS_UTIL 69143418 1926298
EXE_ACTIVITY.BOUND_ON_STORES 563971 25443
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3778756 136569
IDQ_UOPS_NOT_DELIVERED.CORE 320569502 15134589
INST_RETIRED 831476608 27366366
INT_MISC.RECOVERY_CYCLES_ANY 6479067 193761
L1D.REPLACEMENT 4257416 113876
L2_LINES_IN.ALL 722251 34196
MEM_INST_RETIRED.ALL_LOADS 199615546 7555023
MEM_INST_RETIRED.ALL_STORES 108877324 2227112
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1114380 80036
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 843643950 22870450
UOPS_RETIRED.RETIRE_SLOTS 786357380 22173981


CPU_CLK_UNHALTED 517354568 20625566
CYCLE_ACTIVITY.STALLS_L1D_MISS 6558695 547561
CYCLE_ACTIVITY.STALLS_L2_MISS 3085735 190233
CYCLE_ACTIVITY.STALLS_L3_MISS 1491533 115107
CYCLE_ACTIVITY.STALLS_MEM_ANY 35888874 1375023
EXE_ACTIVITY.1_PORTS_UTIL 63253793 2756547
EXE_ACTIVITY.2_PORTS_UTIL 98440748 3688648
EXE_ACTIVITY.BOUND_ON_STORES 798553 40341
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5358077 210130
IDQ_UOPS_NOT_DELIVERED.CORE 454962783 23226393
INST_RETIRED 1171632210 56382566
INT_MISC.RECOVERY_CYCLES_ANY 9197930 323891
L1D.REPLACEMENT 6135667 188770
