here
CPU_CLK_UNHALTED 48082809 141245
CYCLE_ACTIVITY.STALLS_L1D_MISS 16477401 403687
CYCLE_ACTIVITY.STALLS_L2_MISS 14556440 271290
CYCLE_ACTIVITY.STALLS_L3_MISS 2873782 215552
CYCLE_ACTIVITY.STALLS_MEM_ANY 20939393 235463
EXE_ACTIVITY.1_PORTS_UTIL 4379494 132305
EXE_ACTIVITY.2_PORTS_UTIL 3072406 122403
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 96607 4169
IDQ_UOPS_NOT_DELIVERED.CORE 4375168 161891
INST_RETIRED 5658053 209599
INT_MISC.RECOVERY_CYCLES_ANY 717244 13347
L1D.REPLACEMENT 408645 6847
L2_LINES_IN.ALL 292786 3914
MEM_INST_RETIRED.ALL_LOADS 1196320 11359
MEM_INST_RETIRED.ALL_STORES 161411 37
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 799962 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 2060756 0
UOPS_RETIRED.RETIRE_SLOTS 23542 0


CPU_CLK_UNHALTED 247334221 3118262
CYCLE_ACTIVITY.STALLS_L1D_MISS 89128117 33478126
CYCLE_ACTIVITY.STALLS_L2_MISS 84426645 34029436
CYCLE_ACTIVITY.STALLS_L3_MISS 33392301 13895892
CYCLE_ACTIVITY.STALLS_MEM_ANY 108772009 33284419
EXE_ACTIVITY.1_PORTS_UTIL 31133896 11640397
EXE_ACTIVITY.2_PORTS_UTIL 19115636 7050657
EXE_ACTIVITY.BOUND_ON_STORES 1974226 1121643
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1966413 747431
IDQ_UOPS_NOT_DELIVERED.CORE 81100588 32177159
INST_RETIRED 71425893 14715494
INT_MISC.RECOVERY_CYCLES_ANY 12047659 3829481
L1D.REPLACEMENT 9338720 3789591
L2_LINES_IN.ALL 6386530 2257909
MEM_INST_RETIRED.ALL_LOADS 17551990 2909283
MEM_INST_RETIRED.ALL_STORES 3706718 1245567
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 48582794 16351197
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 95383 41676
UOPS_ISSUED.ANY 167173065 40281520
UOPS_RETIRED.RETIRE_SLOTS 67709842 17035740


CPU_CLK_UNHALTED 442351845 7186763
CYCLE_ACTIVITY.STALLS_L1D_MISS 198077504 65592760
CYCLE_ACTIVITY.STALLS_L2_MISS 188037380 66694523
CYCLE_ACTIVITY.STALLS_L3_MISS 83013793 20341936
CYCLE_ACTIVITY.STALLS_MEM_ANY 222761123 63321700
EXE_ACTIVITY.1_PORTS_UTIL 66024903 18299192
EXE_ACTIVITY.2_PORTS_UTIL 40140448 13571568
EXE_ACTIVITY.BOUND_ON_STORES 3212240 1028504
EXE_ACTIVITY.EXE_BOUND_0_PORTS 3490115 1122214
IDQ_UOPS_NOT_DELIVERED.CORE 187063034 46583768
INST_RETIRED 143208550 29458131
INT_MISC.RECOVERY_CYCLES_ANY 26842221 8109563
L1D.REPLACEMENT 21934553 5410256
L2_LINES_IN.ALL 14819670 3669843
MEM_INST_RETIRED.ALL_LOADS 34441024 5700724
MEM_INST_RETIRED.ALL_STORES 6978048 1750626
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 121115039 26352684
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 233332 48253
UOPS_ISSUED.ANY 361803482 85881701
UOPS_RETIRED.RETIRE_SLOTS 140008701 35377582


CPU_CLK_UNHALTED 607495563 58423291
CYCLE_ACTIVITY.STALLS_L1D_MISS 273955124 99046821
