here
CPU_CLK_UNHALTED 44580763 416625
CYCLE_ACTIVITY.STALLS_L1D_MISS 14426635 817671
CYCLE_ACTIVITY.STALLS_L2_MISS 12679702 952172
CYCLE_ACTIVITY.STALLS_L3_MISS 3010478 194339
CYCLE_ACTIVITY.STALLS_MEM_ANY 15377899 755359
EXE_ACTIVITY.1_PORTS_UTIL 5498526 80612
EXE_ACTIVITY.2_PORTS_UTIL 3601121 30706
EXE_ACTIVITY.BOUND_ON_STORES 475603 17306
EXE_ACTIVITY.EXE_BOUND_0_PORTS 176529 5002
IDQ_UOPS_NOT_DELIVERED.CORE 16918416 127523
INST_RETIRED 6244595 52383
INT_MISC.RECOVERY_CYCLES_ANY 1341033 8510
L1D.REPLACEMENT 455682 5331
L2_LINES_IN.ALL 298271 9050
MEM_INST_RETIRED.ALL_LOADS 1111710 2647
MEM_INST_RETIRED.ALL_STORES 183177 55
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 963769 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 2631737 0
UOPS_RETIRED.RETIRE_SLOTS 23858 0


CPU_CLK_UNHALTED 237975332 3903429
CYCLE_ACTIVITY.STALLS_L1D_MISS 79232998 4319425
CYCLE_ACTIVITY.STALLS_L2_MISS 71038427 6970573
CYCLE_ACTIVITY.STALLS_L3_MISS 19342443 1092834
CYCLE_ACTIVITY.STALLS_MEM_ANY 101742267 6246700
EXE_ACTIVITY.1_PORTS_UTIL 40467138 1717964
EXE_ACTIVITY.2_PORTS_UTIL 28182423 1561703
EXE_ACTIVITY.BOUND_ON_STORES 2180213 458228
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1656325 158122
IDQ_UOPS_NOT_DELIVERED.CORE 177198090 11673740
INST_RETIRED 67386590 2947571
INT_MISC.RECOVERY_CYCLES_ANY 17706813 1216915
L1D.REPLACEMENT 6051076 205029
L2_LINES_IN.ALL 4835003 381020
MEM_INST_RETIRED.ALL_LOADS 19935804 499764
MEM_INST_RETIRED.ALL_STORES 3532938 145600
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 25868078 852893
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 782 627
UOPS_ISSUED.ANY 206838537 6369254
UOPS_RETIRED.RETIRE_SLOTS 65818480 1456178


CPU_CLK_UNHALTED 424019963 8539118
