here
CPU_CLK_UNHALTED 49746994 333977
CYCLE_ACTIVITY.STALLS_L1D_MISS 8451000 858476
CYCLE_ACTIVITY.STALLS_L2_MISS 7010248 845482
CYCLE_ACTIVITY.STALLS_L3_MISS 5380172 834244
CYCLE_ACTIVITY.STALLS_MEM_ANY 11099321 499194
EXE_ACTIVITY.1_PORTS_UTIL 7155660 140258
EXE_ACTIVITY.2_PORTS_UTIL 5260767 176740
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 852089 54319
IDQ_UOPS_NOT_DELIVERED.CORE 2152835 102860
INST_RETIRED 28112171 1769143
INT_MISC.RECOVERY_CYCLES_ANY 2436701 116639
L1D.REPLACEMENT 470156 12859
L2_LINES_IN.ALL 375935 11029
MEM_INST_RETIRED.ALL_LOADS 4052514 52816
MEM_INST_RETIRED.ALL_STORES 668789 126
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1711614 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1011 0
UOPS_ISSUED.ANY 5784825 0
UOPS_RETIRED.RETIRE_SLOTS 72228 0


CPU_CLK_UNHALTED 255762461 2307475
CYCLE_ACTIVITY.STALLS_L1D_MISS 47682613 5029069
CYCLE_ACTIVITY.STALLS_L2_MISS 44692471 4114954
CYCLE_ACTIVITY.STALLS_L3_MISS 35887884 4417042
CYCLE_ACTIVITY.STALLS_MEM_ANY 67089984 2346511
EXE_ACTIVITY.1_PORTS_UTIL 47659134 825090
EXE_ACTIVITY.2_PORTS_UTIL 38650610 1174883
EXE_ACTIVITY.BOUND_ON_STORES 108 74
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6828375 729099
IDQ_UOPS_NOT_DELIVERED.CORE 19338540 598272
INST_RETIRED 277474048 12962425
INT_MISC.RECOVERY_CYCLES_ANY 26626922 891171
L1D.REPLACEMENT 6160675 358819
L2_LINES_IN.ALL 5682808 636767
MEM_INST_RETIRED.ALL_LOADS 68319184 1003588
MEM_INST_RETIRED.ALL_STORES 13488818 535609
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 47557168 2830365
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 98722 35558
UOPS_ISSUED.ANY 472161207 11929814
UOPS_RETIRED.RETIRE_SLOTS 264751250 7157611


CPU_CLK_UNHALTED 452288619 8955473
CYCLE_ACTIVITY.STALLS_L1D_MISS 86726014 8359348
CYCLE_ACTIVITY.STALLS_L2_MISS 81250922 6764651
CYCLE_ACTIVITY.STALLS_L3_MISS 66075671 4186706
CYCLE_ACTIVITY.STALLS_MEM_ANY 120986782 5952135
EXE_ACTIVITY.1_PORTS_UTIL 86382660 2163436
EXE_ACTIVITY.2_PORTS_UTIL 70664926 2491467
EXE_ACTIVITY.BOUND_ON_STORES 109 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13220036 972250
IDQ_UOPS_NOT_DELIVERED.CORE 35970790 1355694
INST_RETIRED 509215154 28995889
INT_MISC.RECOVERY_CYCLES_ANY 48703228 2428586
L1D.REPLACEMENT 11296184 726001
L2_LINES_IN.ALL 10592430 535427
MEM_INST_RETIRED.ALL_LOADS 131116349 2927037
MEM_INST_RETIRED.ALL_STORES 25552503 1335679
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 97801414 5184450
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 180480 29221
UOPS_ISSUED.ANY 905146552 39174949
UOPS_RETIRED.RETIRE_SLOTS 508608201 22539657


CPU_CLK_UNHALTED 649259365 16098957
CYCLE_ACTIVITY.STALLS_L1D_MISS 127686117 10965042
CYCLE_ACTIVITY.STALLS_L2_MISS 114174472 9234658
CYCLE_ACTIVITY.STALLS_L3_MISS 95711290 4651414
CYCLE_ACTIVITY.STALLS_MEM_ANY 180047582 9842740
EXE_ACTIVITY.1_PORTS_UTIL 125308494 3695687
EXE_ACTIVITY.2_PORTS_UTIL 101790771 4074453
EXE_ACTIVITY.BOUND_ON_STORES 109 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 19457389 1262667
IDQ_UOPS_NOT_DELIVERED.CORE 53383492 2637125
INST_RETIRED 747421086 44138840
INT_MISC.RECOVERY_CYCLES_ANY 71939290 3689406
L1D.REPLACEMENT 16597398 1038970
L2_LINES_IN.ALL 15458460 771483
MEM_INST_RETIRED.ALL_LOADS 190258126 6326413
MEM_INST_RETIRED.ALL_STORES 38357637 2018511
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 146581943 6892013
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 268131 38147
UOPS_ISSUED.ANY 1357923363 66424777
UOPS_RETIRED.RETIRE_SLOTS 755652877 38588933


CPU_CLK_UNHALTED 845538550 22736049
CYCLE_ACTIVITY.STALLS_L1D_MISS 165187786 13823711
CYCLE_ACTIVITY.STALLS_L2_MISS 147606472 11830420
CYCLE_ACTIVITY.STALLS_L3_MISS 125459363 5808926
CYCLE_ACTIVITY.STALLS_MEM_ANY 236219842 13067596
EXE_ACTIVITY.1_PORTS_UTIL 164581170 4929795
EXE_ACTIVITY.2_PORTS_UTIL 133655149 5433448
EXE_ACTIVITY.BOUND_ON_STORES 109 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 25825544 1501479
IDQ_UOPS_NOT_DELIVERED.CORE 70134312 3458825
INST_RETIRED 985903916 56856502
INT_MISC.RECOVERY_CYCLES_ANY 95176495 4868749
L1D.REPLACEMENT 22137379 1390197
L2_LINES_IN.ALL 20286077 959950
MEM_INST_RETIRED.ALL_LOADS 251321849 9105417
MEM_INST_RETIRED.ALL_STORES 50910259 2728765
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 193901496 10420716
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 332678 45122
UOPS_ISSUED.ANY 1803553787 94278109
UOPS_RETIRED.RETIRE_SLOTS 997900727 58569781


CPU_CLK_UNHALTED 1042491828 28602711
CYCLE_ACTIVITY.STALLS_L1D_MISS 204236338 16428295
CYCLE_ACTIVITY.STALLS_L2_MISS 182697996 13487508
CYCLE_ACTIVITY.STALLS_L3_MISS 155779633 6331654
CYCLE_ACTIVITY.STALLS_MEM_ANY 292789059 17190975
EXE_ACTIVITY.1_PORTS_UTIL 203214976 6335808
EXE_ACTIVITY.2_PORTS_UTIL 165481376 6758442
EXE_ACTIVITY.BOUND_ON_STORES 109 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 32109282 1778366
IDQ_UOPS_NOT_DELIVERED.CORE 87040397 4232984
INST_RETIRED 1222277709 70650930
INT_MISC.RECOVERY_CYCLES_ANY 118345532 6018218
L1D.REPLACEMENT 27710578 1653943
L2_LINES_IN.ALL 25381294 1257942
MEM_INST_RETIRED.ALL_LOADS 312680132 12146193
MEM_INST_RETIRED.ALL_STORES 63666643 3373391
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 242794479 12593486
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 426154 63482
UOPS_ISSUED.ANY 2249303510 121209864
UOPS_RETIRED.RETIRE_SLOTS 1245890178 73059648


CPU_CLK_UNHALTED 1196236260 184965158
CYCLE_ACTIVITY.STALLS_L1D_MISS 229026057 36003064
CYCLE_ACTIVITY.STALLS_L2_MISS 206730376 40211438
CYCLE_ACTIVITY.STALLS_L3_MISS 175401386 15335854
CYCLE_ACTIVITY.STALLS_MEM_ANY 331143643 69191801
EXE_ACTIVITY.1_PORTS_UTIL 230995114 30370097
EXE_ACTIVITY.2_PORTS_UTIL 188890781 24026823
EXE_ACTIVITY.BOUND_ON_STORES 14088 124860
EXE_ACTIVITY.EXE_BOUND_0_PORTS 36817479 3037381
IDQ_UOPS_NOT_DELIVERED.CORE 102180846 8689596
INST_RETIRED 1418904268 50131969
INT_MISC.RECOVERY_CYCLES_ANY 134553770 18783903
L1D.REPLACEMENT 31647772 7793561
L2_LINES_IN.ALL 29030244 3377860
MEM_INST_RETIRED.ALL_LOADS 360781130 39570512
MEM_INST_RETIRED.ALL_STORES 76649996 8259090
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 275915900 35142086
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 481608 81116
UOPS_ISSUED.ANY 2598410214 221965183
UOPS_RETIRED.RETIRE_SLOTS 1462300845 207703848


CPU_CLK_UNHALTED 1388486523 203451709
CYCLE_ACTIVITY.STALLS_L1D_MISS 265960042 43847621
CYCLE_ACTIVITY.STALLS_L2_MISS 240013716 43523927
CYCLE_ACTIVITY.STALLS_L3_MISS 203428899 19089219
CYCLE_ACTIVITY.STALLS_MEM_ANY 386454364 78296715
EXE_ACTIVITY.1_PORTS_UTIL 268654827 34147209
EXE_ACTIVITY.2_PORTS_UTIL 219752091 26853394
EXE_ACTIVITY.BOUND_ON_STORES 17783 101702
EXE_ACTIVITY.EXE_BOUND_0_PORTS 42304637 3844913
IDQ_UOPS_NOT_DELIVERED.CORE 118224235 9947273
INST_RETIRED 1653898971 59577912
INT_MISC.RECOVERY_CYCLES_ANY 156236437 21221602
L1D.REPLACEMENT 37031189 6834747
L2_LINES_IN.ALL 33511979 4093658
MEM_INST_RETIRED.ALL_LOADS 420671689 45320081
MEM_INST_RETIRED.ALL_STORES 89309018 9416417
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 322418801 37264389
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 552075 82311
UOPS_ISSUED.ANY 3020055205 254831125
UOPS_RETIRED.RETIRE_SLOTS 1705238750 232962820


CPU_CLK_UNHALTED 1584176304 221508290
CYCLE_ACTIVITY.STALLS_L1D_MISS 304405250 51845157
CYCLE_ACTIVITY.STALLS_L2_MISS 274595366 45891805
CYCLE_ACTIVITY.STALLS_L3_MISS 234054225 22089587
CYCLE_ACTIVITY.STALLS_MEM_ANY 443332505 87099706
EXE_ACTIVITY.1_PORTS_UTIL 307839202 37923941
EXE_ACTIVITY.2_PORTS_UTIL 251115236 30064676
EXE_ACTIVITY.BOUND_ON_STORES 22798 91706
EXE_ACTIVITY.EXE_BOUND_0_PORTS 48342202 4654245
IDQ_UOPS_NOT_DELIVERED.CORE 135106459 11063685
INST_RETIRED 1889090192 72552062
