here
CPU_CLK_UNHALTED 47840441 254961
CYCLE_ACTIVITY.STALLS_L1D_MISS 14351182 213077
CYCLE_ACTIVITY.STALLS_L2_MISS 13375609 216490
CYCLE_ACTIVITY.STALLS_L3_MISS 152418 32171
CYCLE_ACTIVITY.STALLS_MEM_ANY 25424552 241836
EXE_ACTIVITY.1_PORTS_UTIL 1065272 23835
EXE_ACTIVITY.2_PORTS_UTIL 660737 64462
EXE_ACTIVITY.BOUND_ON_STORES 2781 4512
EXE_ACTIVITY.EXE_BOUND_0_PORTS 139107 6964
IDQ_UOPS_NOT_DELIVERED.CORE 2566867 22559
INST_RETIRED 1383305 26157
INT_MISC.RECOVERY_CYCLES_ANY 135069 6841
L1D.REPLACEMENT 85654 2696
L2_LINES_IN.ALL 200480 5189
MEM_INST_RETIRED.ALL_LOADS 218609 3517
MEM_INST_RETIRED.ALL_STORES 77098 113
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 30293 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 363348 0
UOPS_RETIRED.RETIRE_SLOTS 5210 0


CPU_CLK_UNHALTED 243289817 5481305
CYCLE_ACTIVITY.STALLS_L1D_MISS 75164396 1437789
CYCLE_ACTIVITY.STALLS_L2_MISS 73212511 1494683
CYCLE_ACTIVITY.STALLS_L3_MISS 510986 195411
CYCLE_ACTIVITY.STALLS_MEM_ANY 156940953 1796481
EXE_ACTIVITY.1_PORTS_UTIL 7176155 118726
EXE_ACTIVITY.2_PORTS_UTIL 4879831 655073
EXE_ACTIVITY.BOUND_ON_STORES 4701 15321
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1001051 59190
IDQ_UOPS_NOT_DELIVERED.CORE 22930778 436964
INST_RETIRED 14061673 366120
INT_MISC.RECOVERY_CYCLES_ANY 1563361 62090
L1D.REPLACEMENT 1100704 38081
L2_LINES_IN.ALL 2974125 130699
MEM_INST_RETIRED.ALL_LOADS 3842409 138997
MEM_INST_RETIRED.ALL_STORES 1568352 106254
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 498092 150070
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 33642933 1384410
UOPS_RETIRED.RETIRE_SLOTS 17157289 1031817


CPU_CLK_UNHALTED 436066155 8941605
CYCLE_ACTIVITY.STALLS_L1D_MISS 132590424 7308084
CYCLE_ACTIVITY.STALLS_L2_MISS 132076174 3128062
CYCLE_ACTIVITY.STALLS_L3_MISS 722140 152627
CYCLE_ACTIVITY.STALLS_MEM_ANY 280694326 13293308
EXE_ACTIVITY.1_PORTS_UTIL 12830387 404313
EXE_ACTIVITY.2_PORTS_UTIL 8634051 879600
EXE_ACTIVITY.BOUND_ON_STORES 8628 11524
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1963750 147311
IDQ_UOPS_NOT_DELIVERED.CORE 42088047 2435305
INST_RETIRED 25935640 944357
INT_MISC.RECOVERY_CYCLES_ANY 2884315 187664
L1D.REPLACEMENT 2041437 140238
L2_LINES_IN.ALL 5709226 310439
MEM_INST_RETIRED.ALL_LOADS 7495197 306820
MEM_INST_RETIRED.ALL_STORES 3081459 170188
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 768951 130870
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 64397288 3308831
UOPS_RETIRED.RETIRE_SLOTS 33099273 2306345


CPU_CLK_UNHALTED 626560359 13793273
CYCLE_ACTIVITY.STALLS_L1D_MISS 187609155 17420734
CYCLE_ACTIVITY.STALLS_L2_MISS 188520502 9439186
CYCLE_ACTIVITY.STALLS_L3_MISS 878935 150181
CYCLE_ACTIVITY.STALLS_MEM_ANY 401476527 33688119
EXE_ACTIVITY.1_PORTS_UTIL 18669588 633242
EXE_ACTIVITY.2_PORTS_UTIL 12368971 1260475
EXE_ACTIVITY.BOUND_ON_STORES 18351 15199
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2835192 208316
IDQ_UOPS_NOT_DELIVERED.CORE 61470125 4294747
INST_RETIRED 37697435 1644852
INT_MISC.RECOVERY_CYCLES_ANY 4264984 277258
L1D.REPLACEMENT 2999229 201480
L2_LINES_IN.ALL 8480803 490524
