here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 10449957 0
INST_RETIRED 1104164 0
MEM_INST_RETIRED.ALL_LOADS 3619 0
MEM_INST_RETIRED.ALL_STORES 788382 0
L1D.REPLACEMENT 405778 2456
L2_LINES_IN.ALL 270115 1695
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 43499 458
CYCLE_ACTIVITY.STALLS_L2_MISS 15292 289
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 53791572 430495
INST_RETIRED 5945018 52145
MEM_INST_RETIRED.ALL_LOADS 20464 396
MEM_INST_RETIRED.ALL_STORES 4671695 68854
L1D.REPLACEMENT 2548499 25895
L2_LINES_IN.ALL 1780613 18171
IDQ_UOPS_NOT_DELIVERED.CORE 13004535 17474
UOPS_ISSUED.ANY 22132875 48774
INT_MISC.RECOVERY_CYCLES_ANY 1856357 4981
UOPS_RETIRED.RETIRE_SLOTS 17231534 69567
CYCLE_ACTIVITY.STALLS_MEM_ANY 709838 53066
EXE_ACTIVITY.BOUND_ON_STORES 24517739 143310
EXE_ACTIVITY.1_PORTS_UTIL 7090347 14163
EXE_ACTIVITY.2_PORTS_UTIL 3846554 6629
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2492678 9234
CYCLE_ACTIVITY.STALLS_L1D_MISS 817579 38966
CYCLE_ACTIVITY.STALLS_L2_MISS 341310 55732
CYCLE_ACTIVITY.STALLS_L3_MISS 259248 50356
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 342487 67811


CPU_CLK_UNHALTED 153025442 49650001
INST_RETIRED 123980198 23136605
MEM_INST_RETIRED.ALL_LOADS 32163905 44402629
MEM_INST_RETIRED.ALL_STORES 19929071 16161794
L1D.REPLACEMENT 3904100 794604
L2_LINES_IN.ALL 2802287 497989
IDQ_UOPS_NOT_DELIVERED.CORE 23104831 2748449
UOPS_ISSUED.ANY 136897497 23057070
INT_MISC.RECOVERY_CYCLES_ANY 3128153 815505
UOPS_RETIRED.RETIRE_SLOTS 117421888 115420836
CYCLE_ACTIVITY.STALLS_MEM_ANY 13604589 23322688
EXE_ACTIVITY.BOUND_ON_STORES 36982598 14010292
EXE_ACTIVITY.1_PORTS_UTIL 23540714 25143645
EXE_ACTIVITY.2_PORTS_UTIL 16973913 21728062
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5283217 1004971
CYCLE_ACTIVITY.STALLS_L1D_MISS 1822683 885175
CYCLE_ACTIVITY.STALLS_L2_MISS 1109164 761437
CYCLE_ACTIVITY.STALLS_L3_MISS 969895 818852
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1156110 866376


CPU_CLK_UNHALTED 246982065 15306677
INST_RETIRED 290135796 63468750
MEM_INST_RETIRED.ALL_LOADS 73306471 65593955
MEM_INST_RETIRED.ALL_STORES 47699935 29429652
L1D.REPLACEMENT 4591172 1367922
L2_LINES_IN.ALL 3470872 818924
IDQ_UOPS_NOT_DELIVERED.CORE 36622410 4557260
UOPS_ISSUED.ANY 313133186 22366482
INT_MISC.RECOVERY_CYCLES_ANY 4405750 1034216
UOPS_RETIRED.RETIRE_SLOTS 279900053 45498280
CYCLE_ACTIVITY.STALLS_MEM_ANY 16954954 27945956
EXE_ACTIVITY.BOUND_ON_STORES 37494708 26720009
EXE_ACTIVITY.1_PORTS_UTIL 38698787 29971651
EXE_ACTIVITY.2_PORTS_UTIL 34977277 28276397
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8059013 1216854
CYCLE_ACTIVITY.STALLS_L1D_MISS 2131278 1287950
CYCLE_ACTIVITY.STALLS_L2_MISS 1407552 1018561
CYCLE_ACTIVITY.STALLS_L3_MISS 1250302 1058303
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1496741 1134043


CPU_CLK_UNHALTED 336254162 23939437
INST_RETIRED 449757952 74483082
MEM_INST_RETIRED.ALL_LOADS 113855395 83544897
MEM_INST_RETIRED.ALL_STORES 75401404 40024076
L1D.REPLACEMENT 5356871 1756061
L2_LINES_IN.ALL 4157039 1051596
IDQ_UOPS_NOT_DELIVERED.CORE 50005771 5807460
UOPS_ISSUED.ANY 492813982 115536611
INT_MISC.RECOVERY_CYCLES_ANY 5613291 1211055
UOPS_RETIRED.RETIRE_SLOTS 452914747 131376332
CYCLE_ACTIVITY.STALLS_MEM_ANY 22901712 31910459
EXE_ACTIVITY.BOUND_ON_STORES 37985163 34842042
EXE_ACTIVITY.1_PORTS_UTIL 53842548 34137485
EXE_ACTIVITY.2_PORTS_UTIL 52992683 33394405
EXE_ACTIVITY.EXE_BOUND_0_PORTS 10812770 1392371
CYCLE_ACTIVITY.STALLS_L1D_MISS 2491798 1564065
CYCLE_ACTIVITY.STALLS_L2_MISS 1646323 1223758
CYCLE_ACTIVITY.STALLS_L3_MISS 1472889 1249682
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1769661 1347885


CPU_CLK_UNHALTED 425517264 30655424
INST_RETIRED 609331454 66324770
MEM_INST_RETIRED.ALL_LOADS 154328774 99218336
MEM_INST_RETIRED.ALL_STORES 103051554 49066148
L1D.REPLACEMENT 6182741 2060874
L2_LINES_IN.ALL 4898282 1228936
IDQ_UOPS_NOT_DELIVERED.CORE 63339834 6787386
UOPS_ISSUED.ANY 672282993 160183698
INT_MISC.RECOVERY_CYCLES_ANY 6821935 1364265
UOPS_RETIRED.RETIRE_SLOTS 625653234 20703901
CYCLE_ACTIVITY.STALLS_MEM_ANY 28997106 35445665
EXE_ACTIVITY.BOUND_ON_STORES 38450567 41337650
EXE_ACTIVITY.1_PORTS_UTIL 69023959 37856705
EXE_ACTIVITY.2_PORTS_UTIL 71043455 37785160
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13553649 1546482
CYCLE_ACTIVITY.STALLS_L1D_MISS 2886252 1785296
CYCLE_ACTIVITY.STALLS_L2_MISS 1878118 1406674
CYCLE_ACTIVITY.STALLS_L3_MISS 1688472 1421092
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2034916 1539162


CPU_CLK_UNHALTED 554570151 53925589
INST_RETIRED 774874439 40336414
MEM_INST_RETIRED.ALL_LOADS 207008781 123040073
MEM_INST_RETIRED.ALL_STORES 130267592 56865576
L1D.REPLACEMENT 12279643 13383278
L2_LINES_IN.ALL 8367667 6929788
IDQ_UOPS_NOT_DELIVERED.CORE 74321130 11424271
UOPS_ISSUED.ANY 858110248 48532018
INT_MISC.RECOVERY_CYCLES_ANY 7769886 1767914
UOPS_RETIRED.RETIRE_SLOTS 806728925 108594147
CYCLE_ACTIVITY.STALLS_MEM_ANY 49431955 61079533
EXE_ACTIVITY.BOUND_ON_STORES 44538742 48368713
EXE_ACTIVITY.1_PORTS_UTIL 97294106 56415932
EXE_ACTIVITY.2_PORTS_UTIL 96110639 47425628
EXE_ACTIVITY.EXE_BOUND_0_PORTS 16101454 1758283
CYCLE_ACTIVITY.STALLS_L1D_MISS 12522928 25304409
CYCLE_ACTIVITY.STALLS_L2_MISS 4728250 8824971
CYCLE_ACTIVITY.STALLS_L3_MISS 4338686 8417438
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 2609 14940
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 5605495 11316673


CPU_CLK_UNHALTED 748407637 80252747
INST_RETIRED 953294640 95186088
MEM_INST_RETIRED.ALL_LOADS 280017457 158251935
MEM_INST_RETIRED.ALL_STORES 156657265 63613935
L1D.REPLACEMENT 31629607 29915859
L2_LINES_IN.ALL 18373821 15060362
IDQ_UOPS_NOT_DELIVERED.CORE 77204437 22313011
UOPS_ISSUED.ANY 1070724964 151723599
INT_MISC.RECOVERY_CYCLES_ANY 7988945 2858718
UOPS_RETIRED.RETIRE_SLOTS 1003803531 194512053
CYCLE_ACTIVITY.STALLS_MEM_ANY 105704252 124504346
EXE_ACTIVITY.BOUND_ON_STORES 61446644 56974736
EXE_ACTIVITY.1_PORTS_UTIL 152079415 104473962
EXE_ACTIVITY.2_PORTS_UTIL 135659094 72047908
EXE_ACTIVITY.EXE_BOUND_0_PORTS 18625145 3438338
CYCLE_ACTIVITY.STALLS_L1D_MISS 39950881 63008018
CYCLE_ACTIVITY.STALLS_L2_MISS 11449541 15620142
CYCLE_ACTIVITY.STALLS_L3_MISS 10618919 14846026
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 9955 21359
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 14126982 20113842


CPU_CLK_UNHALTED 860514915 88060685
INST_RETIRED 1099965134 108043078
MEM_INST_RETIRED.ALL_LOADS 322369618 171966547
MEM_INST_RETIRED.ALL_STORES 174302433 70156002
L1D.REPLACEMENT 33408102 32315352
L2_LINES_IN.ALL 19504524 16278734
IDQ_UOPS_NOT_DELIVERED.CORE 87315549 23854609
UOPS_ISSUED.ANY 1240647779 167174837
INT_MISC.RECOVERY_CYCLES_ANY 8998781 3053780
UOPS_RETIRED.RETIRE_SLOTS 1169072606 213320985
CYCLE_ACTIVITY.STALLS_MEM_ANY 124119898 132933024
EXE_ACTIVITY.BOUND_ON_STORES 61618347 63569405
EXE_ACTIVITY.1_PORTS_UTIL 181407805 113609306
EXE_ACTIVITY.2_PORTS_UTIL 162248303 79458433
EXE_ACTIVITY.EXE_BOUND_0_PORTS 22013790 5921940
CYCLE_ACTIVITY.STALLS_L1D_MISS 41431656 67990621
CYCLE_ACTIVITY.STALLS_L2_MISS 12430114 16806286
CYCLE_ACTIVITY.STALLS_L3_MISS 11537016 15940305
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 12625 25687
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 15331975 21607435


CPU_CLK_UNHALTED 1001210515 65196518
INST_RETIRED 1257704830 118288270
MEM_INST_RETIRED.ALL_LOADS 420852338 185807063
MEM_INST_RETIRED.ALL_STORES 183769828 78080614
L1D.REPLACEMENT 42385111 36569797
L2_LINES_IN.ALL 26105878 19828298
IDQ_UOPS_NOT_DELIVERED.CORE 123274627 69765830
UOPS_ISSUED.ANY 1478245171 83771784
INT_MISC.RECOVERY_CYCLES_ANY 9717210 3747260
UOPS_RETIRED.RETIRE_SLOTS 1392261895 182198532
CYCLE_ACTIVITY.STALLS_MEM_ANY 153186811 149821904
EXE_ACTIVITY.BOUND_ON_STORES 63772237 68749493
EXE_ACTIVITY.1_PORTS_UTIL 215082433 136440083
EXE_ACTIVITY.2_PORTS_UTIL 196375757 106697907
EXE_ACTIVITY.EXE_BOUND_0_PORTS 23648101 7122233
CYCLE_ACTIVITY.STALLS_L1D_MISS 51278993 77821404
CYCLE_ACTIVITY.STALLS_L2_MISS 17895909 23202620
CYCLE_ACTIVITY.STALLS_L3_MISS 16670972 22061732
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 256444 988138
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 21626706 28440970


CPU_CLK_UNHALTED 1189799517 16185976
INST_RETIRED 1454952761 124316899
MEM_INST_RETIRED.ALL_LOADS 580560315 94741944
MEM_INST_RETIRED.ALL_STORES 195141822 84591165
L1D.REPLACEMENT 54432707 40910857
L2_LINES_IN.ALL 35344401 23972134
IDQ_UOPS_NOT_DELIVERED.CORE 173957908 118740315
UOPS_ISSUED.ANY 1778485288 148421566
INT_MISC.RECOVERY_CYCLES_ANY 10072908 4449414
UOPS_RETIRED.RETIRE_SLOTS 1657094864 226003841
CYCLE_ACTIVITY.STALLS_MEM_ANY 211227827 186988249
EXE_ACTIVITY.BOUND_ON_STORES 63819979 74307694
EXE_ACTIVITY.1_PORTS_UTIL 256863434 155611045
EXE_ACTIVITY.2_PORTS_UTIL 242142772 133178271
EXE_ACTIVITY.EXE_BOUND_0_PORTS 24725518 8653334
CYCLE_ACTIVITY.STALLS_L1D_MISS 73924168 94692598
CYCLE_ACTIVITY.STALLS_L2_MISS 27149849 31715501
CYCLE_ACTIVITY.STALLS_L3_MISS 25457570 30278003
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 942225 2109538
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 31916271 37156660


CPU_CLK_UNHALTED 1397844589 114658219
INST_RETIRED 1682564014 78600822
MEM_INST_RETIRED.ALL_LOADS 744999514 159955261
MEM_INST_RETIRED.ALL_STORES 204497499 91638215
L1D.REPLACEMENT 66650457 44901006
L2_LINES_IN.ALL 44526799 27393641
IDQ_UOPS_NOT_DELIVERED.CORE 220527044 145739043
UOPS_ISSUED.ANY 2045380732 103489150
INT_MISC.RECOVERY_CYCLES_ANY 10363485 5077818
UOPS_RETIRED.RETIRE_SLOTS 1944631277 195532690
CYCLE_ACTIVITY.STALLS_MEM_ANY 268839557 217459651
EXE_ACTIVITY.BOUND_ON_STORES 63835961 79483941
EXE_ACTIVITY.1_PORTS_UTIL 301736538 170777706
EXE_ACTIVITY.2_PORTS_UTIL 285786499 151634569
EXE_ACTIVITY.EXE_BOUND_0_PORTS 29195977 19767419
CYCLE_ACTIVITY.STALLS_L1D_MISS 107030245 123296045
CYCLE_ACTIVITY.STALLS_L2_MISS 40035552 43794150
CYCLE_ACTIVITY.STALLS_L3_MISS 37764511 42071977
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1641100 2752573
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 46051651 49554105


CPU_CLK_UNHALTED 1605874173 65359228
INST_RETIRED 1902339538 94158634
MEM_INST_RETIRED.ALL_LOADS 912762179 191825284
MEM_INST_RETIRED.ALL_STORES 217033931 97664260
L1D.REPLACEMENT 78798697 48547162
L2_LINES_IN.ALL 53931812 30628941
