here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 43185693 116328
INST_RETIRED 61216305 0
MEM_INST_RETIRED.ALL_LOADS 12143144 66365
MEM_INST_RETIRED.ALL_STORES 4990556 26436
L1D.REPLACEMENT 663644 9095
L2_LINES_IN.ALL 70446 3205
IDQ_UOPS_NOT_DELIVERED.CORE 4363072 64628
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 68179 3667
UOPS_RETIRED.RETIRE_SLOTS 34408129 544532
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 4839513 204349
EXE_ACTIVITY.2_PORTS_UTIL 3529280 128316
EXE_ACTIVITY.EXE_BOUND_0_PORTS 850960 32441
CYCLE_ACTIVITY.STALLS_L1D_MISS 32592 614
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 224814521 2460060
INST_RETIRED 330817556 4050262
MEM_INST_RETIRED.ALL_LOADS 68561048 1003106
MEM_INST_RETIRED.ALL_STORES 29704225 395176
L1D.REPLACEMENT 4145939 41602
L2_LINES_IN.ALL 471476 8865
IDQ_UOPS_NOT_DELIVERED.CORE 30640902 297233
UOPS_ISSUED.ANY 316019067 1443678
INT_MISC.RECOVERY_CYCLES_ANY 526363 19448
UOPS_RETIRED.RETIRE_SLOTS 305857044 2512660
CYCLE_ACTIVITY.STALLS_MEM_ANY 19161952 162442
EXE_ACTIVITY.BOUND_ON_STORES 4291 5505
EXE_ACTIVITY.1_PORTS_UTIL 60211178 1497048
EXE_ACTIVITY.2_PORTS_UTIL 50170508 1225439
EXE_ACTIVITY.EXE_BOUND_0_PORTS 15144138 607632
CYCLE_ACTIVITY.STALLS_L1D_MISS 676273 30046
CYCLE_ACTIVITY.STALLS_L2_MISS 294316 18689
CYCLE_ACTIVITY.STALLS_L3_MISS 256458 18739
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 299559 17765


CPU_CLK_UNHALTED 407107336 3846183
INST_RETIRED 597481232 6736681
MEM_INST_RETIRED.ALL_LOADS 123908618 1926401
MEM_INST_RETIRED.ALL_STORES 53928977 782586
L1D.REPLACEMENT 7543806 90888
L2_LINES_IN.ALL 861090 15465
IDQ_UOPS_NOT_DELIVERED.CORE 56368943 782890
UOPS_ISSUED.ANY 586739443 5071761
INT_MISC.RECOVERY_CYCLES_ANY 946876 50362
UOPS_RETIRED.RETIRE_SLOTS 574669555 4571108
CYCLE_ACTIVITY.STALLS_MEM_ANY 36886132 574072
EXE_ACTIVITY.BOUND_ON_STORES 5876 7836
EXE_ACTIVITY.1_PORTS_UTIL 116097036 2259796
EXE_ACTIVITY.2_PORTS_UTIL 96407030 1847263
EXE_ACTIVITY.EXE_BOUND_0_PORTS 30579179 1393573
CYCLE_ACTIVITY.STALLS_L1D_MISS 1314647 64201
CYCLE_ACTIVITY.STALLS_L2_MISS 604772 63394
CYCLE_ACTIVITY.STALLS_L3_MISS 538569 63232
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 631543 67369


CPU_CLK_UNHALTED 543677056 58401462
INST_RETIRED 803978575 9154902
MEM_INST_RETIRED.ALL_LOADS 177527224 39798997
MEM_INST_RETIRED.ALL_STORES 75014403 5110114
L1D.REPLACEMENT 12594043 3745839
L2_LINES_IN.ALL 1716299 720714
IDQ_UOPS_NOT_DELIVERED.CORE 114115017 90186508
UOPS_ISSUED.ANY 825668063 88850496
INT_MISC.RECOVERY_CYCLES_ANY 1875774 1001927
UOPS_RETIRED.RETIRE_SLOTS 808130659 77960490
CYCLE_ACTIVITY.STALLS_MEM_ANY 48858699 10710770
EXE_ACTIVITY.BOUND_ON_STORES 7976487 23252315
EXE_ACTIVITY.1_PORTS_UTIL 148961184 33688430
EXE_ACTIVITY.2_PORTS_UTIL 124226110 30298594
EXE_ACTIVITY.EXE_BOUND_0_PORTS 37812134 11726296
CYCLE_ACTIVITY.STALLS_L1D_MISS 3189550 3399316
CYCLE_ACTIVITY.STALLS_L2_MISS 1293269 857400
CYCLE_ACTIVITY.STALLS_L3_MISS 1162324 815119
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 14909 35448
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1462752 1118184


CPU_CLK_UNHALTED 708240996 68461121
INST_RETIRED 1165094174 75506361
MEM_INST_RETIRED.ALL_LOADS 276506557 74408527
MEM_INST_RETIRED.ALL_STORES 98985569 6018087
L1D.REPLACEMENT 22409305 7527982
L2_LINES_IN.ALL 2793970 999994
IDQ_UOPS_NOT_DELIVERED.CORE 255264196 89075841
UOPS_ISSUED.ANY 1176869412 16377243
INT_MISC.RECOVERY_CYCLES_ANY 2812830 1244744
UOPS_RETIRED.RETIRE_SLOTS 1147636403 141281498
CYCLE_ACTIVITY.STALLS_MEM_ANY 60617749 13551040
EXE_ACTIVITY.BOUND_ON_STORES 9513012 26729121
EXE_ACTIVITY.1_PORTS_UTIL 182619655 44681430
EXE_ACTIVITY.2_PORTS_UTIL 163955074 35280711
EXE_ACTIVITY.EXE_BOUND_0_PORTS 39110030 20650621
CYCLE_ACTIVITY.STALLS_L1D_MISS 8031275 6550839
CYCLE_ACTIVITY.STALLS_L2_MISS 3047292 2107415
CYCLE_ACTIVITY.STALLS_L3_MISS 2806793 1996652
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 76930 91582
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3709751 2765409


CPU_CLK_UNHALTED 871674006 77834585
INST_RETIRED 1496081299 72593478
MEM_INST_RETIRED.ALL_LOADS 372650498 96089478
MEM_INST_RETIRED.ALL_STORES 123944609 6861287
L1D.REPLACEMENT 35959485 16778614
L2_LINES_IN.ALL 4179990 1618699
IDQ_UOPS_NOT_DELIVERED.CORE 368058757 145798133
UOPS_ISSUED.ANY 1510184671 78157463
INT_MISC.RECOVERY_CYCLES_ANY 3604761 1540483
UOPS_RETIRED.RETIRE_SLOTS 1473699786 37562171
CYCLE_ACTIVITY.STALLS_MEM_ANY 77492263 25644575
EXE_ACTIVITY.BOUND_ON_STORES 11914581 29925385
EXE_ACTIVITY.1_PORTS_UTIL 218335959 52980317
EXE_ACTIVITY.2_PORTS_UTIL 205723357 40447123
EXE_ACTIVITY.EXE_BOUND_0_PORTS 40913028 26539903
CYCLE_ACTIVITY.STALLS_L1D_MISS 22661913 38378297
CYCLE_ACTIVITY.STALLS_L2_MISS 5934025 7355163
CYCLE_ACTIVITY.STALLS_L3_MISS 5541030 7068733
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 497615 3357331
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7470621 9642123


CPU_CLK_UNHALTED 1079607776 26447201
INST_RETIRED 1778744227 80431178
MEM_INST_RETIRED.ALL_LOADS 497052050 142257702
MEM_INST_RETIRED.ALL_STORES 155779199 15659031
L1D.REPLACEMENT 72883202 44716593
L2_LINES_IN.ALL 7260185 3593895
IDQ_UOPS_NOT_DELIVERED.CORE 378552377 42201794
UOPS_ISSUED.ANY 1825941775 92264278
INT_MISC.RECOVERY_CYCLES_ANY 3641087 2065989
UOPS_RETIRED.RETIRE_SLOTS 1787946206 60783793
CYCLE_ACTIVITY.STALLS_MEM_ANY 117823145 53309655
EXE_ACTIVITY.BOUND_ON_STORES 17405257 33161650
EXE_ACTIVITY.1_PORTS_UTIL 265357282 58446478
EXE_ACTIVITY.2_PORTS_UTIL 263269964 53015426
EXE_ACTIVITY.EXE_BOUND_0_PORTS 45109042 30073888
CYCLE_ACTIVITY.STALLS_L1D_MISS 58107270 69332356
CYCLE_ACTIVITY.STALLS_L2_MISS 33818665 46732732
CYCLE_ACTIVITY.STALLS_L3_MISS 31242277 43011161
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 3300339 5991449
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 45449685 63295613


CPU_CLK_UNHALTED 1288130673 57417493
INST_RETIRED 2033439898 51505496
MEM_INST_RETIRED.ALL_LOADS 604584556 169909541
MEM_INST_RETIRED.ALL_STORES 195051331 33819815
L1D.REPLACEMENT 103458175 56489899
L2_LINES_IN.ALL 11390643 6029368
IDQ_UOPS_NOT_DELIVERED.CORE 399291807 108959072
UOPS_ISSUED.ANY 2106385474 149411464
INT_MISC.RECOVERY_CYCLES_ANY 3942491 2366027
UOPS_RETIRED.RETIRE_SLOTS 2063525333 122567023
CYCLE_ACTIVITY.STALLS_MEM_ANY 173241127 97395931
EXE_ACTIVITY.BOUND_ON_STORES 29361381 44455050
EXE_ACTIVITY.1_PORTS_UTIL 308106058 63889321
EXE_ACTIVITY.2_PORTS_UTIL 310587020 61353321
EXE_ACTIVITY.EXE_BOUND_0_PORTS 47142670 34519571
CYCLE_ACTIVITY.STALLS_L1D_MISS 94329185 92486703
CYCLE_ACTIVITY.STALLS_L2_MISS 47793981 57896596
CYCLE_ACTIVITY.STALLS_L3_MISS 43898130 53311200
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 4342453 7099241
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 63701332 78275416


CPU_CLK_UNHALTED 1496540193 77041806
INST_RETIRED 2385514009 41019394
MEM_INST_RETIRED.ALL_LOADS 731407270 205617595
MEM_INST_RETIRED.ALL_STORES 230331042 40777728
L1D.REPLACEMENT 130977901 63986292
L2_LINES_IN.ALL 13967035 6764213
IDQ_UOPS_NOT_DELIVERED.CORE 475871891 156208095
UOPS_ISSUED.ANY 2455663264 151599728
INT_MISC.RECOVERY_CYCLES_ANY 4144184 2637880
UOPS_RETIRED.RETIRE_SLOTS 2420783187 143032332
CYCLE_ACTIVITY.STALLS_MEM_ANY 209436893 111126473
EXE_ACTIVITY.BOUND_ON_STORES 38681315 51043471
EXE_ACTIVITY.1_PORTS_UTIL 349370449 68738621
EXE_ACTIVITY.2_PORTS_UTIL 354624251 66312266
EXE_ACTIVITY.EXE_BOUND_0_PORTS 47714185 39269680
CYCLE_ACTIVITY.STALLS_L1D_MISS 122468144 105458305
CYCLE_ACTIVITY.STALLS_L2_MISS 67521210 69575921
CYCLE_ACTIVITY.STALLS_L3_MISS 62702464 65016674
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 10783354 20780458
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 92939953 96555869


CPU_CLK_UNHALTED 1705060973 92903828
INST_RETIRED 2777568773 48461668
MEM_INST_RETIRED.ALL_LOADS 870847113 106308990
MEM_INST_RETIRED.ALL_STORES 264937240 45814624
L1D.REPLACEMENT 156885402 69888410
