here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 11134373 21778
INST_RETIRED 4790464 0
MEM_INST_RETIRED.ALL_LOADS 39 3
MEM_INST_RETIRED.ALL_STORES 3692468 8325
L1D.REPLACEMENT 5358 661
L2_LINES_IN.ALL 10815 713
IDQ_UOPS_NOT_DELIVERED.CORE 0 0
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 0 0
EXE_ACTIVITY.BOUND_ON_STORES 1424658 33468
EXE_ACTIVITY.1_PORTS_UTIL 1094846 5659
EXE_ACTIVITY.2_PORTS_UTIL 370312 1544
EXE_ACTIVITY.EXE_BOUND_0_PORTS 181393 523
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 6007 66
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 129475678 24644669
INST_RETIRED 184921186 19968436
MEM_INST_RETIRED.ALL_LOADS 47819880 32745063
MEM_INST_RETIRED.ALL_STORES 21289711 10421774
L1D.REPLACEMENT 2940064 2435535
L2_LINES_IN.ALL 3332448 2508332
IDQ_UOPS_NOT_DELIVERED.CORE 88133755 45105596
UOPS_ISSUED.ANY 181418472 65542215
INT_MISC.RECOVERY_CYCLES_ANY 1807608 633321
UOPS_RETIRED.RETIRE_SLOTS 149207218 74422816
CYCLE_ACTIVITY.STALLS_MEM_ANY 20650412 24117054
EXE_ACTIVITY.BOUND_ON_STORES 8978628 5577566
EXE_ACTIVITY.1_PORTS_UTIL 28888826 15052663
EXE_ACTIVITY.2_PORTS_UTIL 30699811 23113844
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2910252 1120912
CYCLE_ACTIVITY.STALLS_L1D_MISS 8734374 8279012
CYCLE_ACTIVITY.STALLS_L2_MISS 3456898 3712972
CYCLE_ACTIVITY.STALLS_L3_MISS 3277398 3554941
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 543771 1111179
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3375202 5703334


CPU_CLK_UNHALTED 317890922 40051030
INST_RETIRED 507179184 33718844
MEM_INST_RETIRED.ALL_LOADS 117314740 62997745
MEM_INST_RETIRED.ALL_STORES 57096876 22511944
L1D.REPLACEMENT 19319973 9370331
L2_LINES_IN.ALL 13432374 5783888
IDQ_UOPS_NOT_DELIVERED.CORE 89208939 90380831
UOPS_ISSUED.ANY 501200644 94196734
INT_MISC.RECOVERY_CYCLES_ANY 1930525 1550512
UOPS_RETIRED.RETIRE_SLOTS 455315258 67421467
CYCLE_ACTIVITY.STALLS_MEM_ANY 28950226 35961965
EXE_ACTIVITY.BOUND_ON_STORES 29131748 12494219
EXE_ACTIVITY.1_PORTS_UTIL 64179269 25951384
EXE_ACTIVITY.2_PORTS_UTIL 69424828 35001549
EXE_ACTIVITY.EXE_BOUND_0_PORTS 27343467 19314170
CYCLE_ACTIVITY.STALLS_L1D_MISS 12759108 14819953
CYCLE_ACTIVITY.STALLS_L2_MISS 4475106 5780548
CYCLE_ACTIVITY.STALLS_L3_MISS 4181308 5583127
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 543771 1606567
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 4345143 8271036


CPU_CLK_UNHALTED 506570878 17347970
INST_RETIRED 819438048 44934946
MEM_INST_RETIRED.ALL_LOADS 186930202 87440904
MEM_INST_RETIRED.ALL_STORES 94420005 32162869
L1D.REPLACEMENT 35868634 13433932
L2_LINES_IN.ALL 23562622 7956606
IDQ_UOPS_NOT_DELIVERED.CORE 90407500 116812141
UOPS_ISSUED.ANY 823833271 21469743
INT_MISC.RECOVERY_CYCLES_ANY 2034698 2077370
UOPS_RETIRED.RETIRE_SLOTS 777546792 40393681
CYCLE_ACTIVITY.STALLS_MEM_ANY 32703832 45258120
EXE_ACTIVITY.BOUND_ON_STORES 45723854 16243396
EXE_ACTIVITY.1_PORTS_UTIL 96519287 31502290
EXE_ACTIVITY.2_PORTS_UTIL 105887435 42683878
EXE_ACTIVITY.EXE_BOUND_0_PORTS 54712468 28966596
CYCLE_ACTIVITY.STALLS_L1D_MISS 14313057 18799184
CYCLE_ACTIVITY.STALLS_L2_MISS 5608044 7306552
CYCLE_ACTIVITY.STALLS_L3_MISS 5140879 7070894
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 543771 1981073
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 5587025 10202909


CPU_CLK_UNHALTED 694953059 43681669
INST_RETIRED 1146099634 72220078
MEM_INST_RETIRED.ALL_LOADS 256788814 108109197
MEM_INST_RETIRED.ALL_STORES 131767620 40259825
L1D.REPLACEMENT 52305925 16601131
L2_LINES_IN.ALL 33621369 9676020
IDQ_UOPS_NOT_DELIVERED.CORE 91584359 137799524
UOPS_ISSUED.ANY 1145341848 75504170
INT_MISC.RECOVERY_CYCLES_ANY 2130879 2491717
UOPS_RETIRED.RETIRE_SLOTS 1084819393 104861480
CYCLE_ACTIVITY.STALLS_MEM_ANY 38925511 53112245
EXE_ACTIVITY.BOUND_ON_STORES 68778586 31078177
EXE_ACTIVITY.1_PORTS_UTIL 128919493 36218908
EXE_ACTIVITY.2_PORTS_UTIL 142577960 49213739
EXE_ACTIVITY.EXE_BOUND_0_PORTS 82309769 36402015
CYCLE_ACTIVITY.STALLS_L1D_MISS 15819023 22059548
CYCLE_ACTIVITY.STALLS_L2_MISS 6339873 8606804
CYCLE_ACTIVITY.STALLS_L3_MISS 5761028 8338061
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 543771 2294699
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 6499662 11840423


CPU_CLK_UNHALTED 883482607 60699101
INST_RETIRED 1465963252 80125677
MEM_INST_RETIRED.ALL_LOADS 326802385 126302320
MEM_INST_RETIRED.ALL_STORES 169143701 47345239
L1D.REPLACEMENT 68674846 19258689
L2_LINES_IN.ALL 43621956 11125764
IDQ_UOPS_NOT_DELIVERED.CORE 92636128 155823635
UOPS_ISSUED.ANY 1470859830 107166868
INT_MISC.RECOVERY_CYCLES_ANY 2229577 2841790
UOPS_RETIRED.RETIRE_SLOTS 1409164040 148647290
CYCLE_ACTIVITY.STALLS_MEM_ANY 42358320 60013922
EXE_ACTIVITY.BOUND_ON_STORES 84773944 35280939
EXE_ACTIVITY.1_PORTS_UTIL 161305111 40407362
EXE_ACTIVITY.2_PORTS_UTIL 179461241 55004109
EXE_ACTIVITY.EXE_BOUND_0_PORTS 110220905 42413250
CYCLE_ACTIVITY.STALLS_L1D_MISS 17254630 24847127
CYCLE_ACTIVITY.STALLS_L2_MISS 7331405 9789973
CYCLE_ACTIVITY.STALLS_L3_MISS 6606690 9473053
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 544481 2570336
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 7636833 13303713


CPU_CLK_UNHALTED 1071965017 74273628
INST_RETIRED 1785478828 67281970
MEM_INST_RETIRED.ALL_LOADS 396201772 142412597
MEM_INST_RETIRED.ALL_STORES 206407205 53630950
L1D.REPLACEMENT 85207240 21664911
L2_LINES_IN.ALL 53754352 12452682
IDQ_UOPS_NOT_DELIVERED.CORE 93743772 171896320
UOPS_ISSUED.ANY 1794775242 130528284
