here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 5806211 14460
INST_RETIRED 145078 552
MEM_INST_RETIRED.ALL_LOADS 26133 154
MEM_INST_RETIRED.ALL_STORES 24630 154
L1D.REPLACEMENT 1359 264
L2_LINES_IN.ALL 6051 19
IDQ_UOPS_NOT_DELIVERED.CORE 2496227 9562
UOPS_ISSUED.ANY 2960744 12710
INT_MISC.RECOVERY_CYCLES_ANY 242855 717
UOPS_RETIRED.RETIRE_SLOTS 1517611 3486
CYCLE_ACTIVITY.STALLS_MEM_ANY 86986 6498
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 0 0
EXE_ACTIVITY.2_PORTS_UTIL 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 30213076 51199
INST_RETIRED 788793 1508
MEM_INST_RETIRED.ALL_LOADS 148693 1136
MEM_INST_RETIRED.ALL_STORES 147156 1136
L1D.REPLACEMENT 6589 1358
L2_LINES_IN.ALL 40656 511
IDQ_UOPS_NOT_DELIVERED.CORE 17756206 44238
UOPS_ISSUED.ANY 22563287 60690
INT_MISC.RECOVERY_CYCLES_ANY 2005530 8076
UOPS_RETIRED.RETIRE_SLOTS 13591432 23847
CYCLE_ACTIVITY.STALLS_MEM_ANY 829057 46414
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3165155 5336
EXE_ACTIVITY.2_PORTS_UTIL 3771315 7014
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2479641 6049
CYCLE_ACTIVITY.STALLS_L1D_MISS 146183 3151
CYCLE_ACTIVITY.STALLS_L2_MISS 123210 1761
CYCLE_ACTIVITY.STALLS_L3_MISS 1556 1404
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 2639 2403


CPU_CLK_UNHALTED 54671773 93079
INST_RETIRED 1432525 2167
MEM_INST_RETIRED.ALL_LOADS 271242 1675
MEM_INST_RETIRED.ALL_STORES 269711 1675
L1D.REPLACEMENT 12402 3198
L2_LINES_IN.ALL 74943 743
IDQ_UOPS_NOT_DELIVERED.CORE 32996430 88370
UOPS_ISSUED.ANY 42146275 115538
INT_MISC.RECOVERY_CYCLES_ANY 3768658 13612
UOPS_RETIRED.RETIRE_SLOTS 25689605 39822
CYCLE_ACTIVITY.STALLS_MEM_ANY 1642004 127295
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 6079489 11831
EXE_ACTIVITY.2_PORTS_UTIL 7274366 10569
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4811707 8824
CYCLE_ACTIVITY.STALLS_L1D_MISS 273430 13881
CYCLE_ACTIVITY.STALLS_L2_MISS 240777 4427
CYCLE_ACTIVITY.STALLS_L3_MISS 2198 2603
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 3743 4485


CPU_CLK_UNHALTED 62940662 12431501
INST_RETIRED 1650073 329069
MEM_INST_RETIRED.ALL_LOADS 309732 78906
MEM_INST_RETIRED.ALL_STORES 308198 79555
L1D.REPLACEMENT 14004 4630
L2_LINES_IN.ALL 85587 17589
IDQ_UOPS_NOT_DELIVERED.CORE 37350287 11366733
UOPS_ISSUED.ANY 47742938 14523196
INT_MISC.RECOVERY_CYCLES_ANY 4284285 1217649
UOPS_RETIRED.RETIRE_SLOTS 29216090 8705565
CYCLE_ACTIVITY.STALLS_MEM_ANY 1912355 576725
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 7173865 1809177
EXE_ACTIVITY.2_PORTS_UTIL 8589799 2164624
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5687021 1432123
CYCLE_ACTIVITY.STALLS_L1D_MISS 323812 82753
CYCLE_ACTIVITY.STALLS_L2_MISS 282232 71518
CYCLE_ACTIVITY.STALLS_L3_MISS 2922 3426
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 4917 5925


CPU_CLK_UNHALTED 66990364 19688219
INST_RETIRED 6775327 520661
MEM_INST_RETIRED.ALL_LOADS 309732 126249
MEM_INST_RETIRED.ALL_STORES 308198 127000
