here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 50049893 131874
INST_RETIRED 11407810 46370
MEM_INST_RETIRED.ALL_LOADS 3927290 35847
MEM_INST_RETIRED.ALL_STORES 585296 5351
L1D.REPLACEMENT 1070574 5176
L2_LINES_IN.ALL 761080 4870
IDQ_UOPS_NOT_DELIVERED.CORE 6455889 112789
UOPS_ISSUED.ANY 24790945 331141
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 9005521 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 16088144 0
EXE_ACTIVITY.BOUND_ON_STORES 9641 0
EXE_ACTIVITY.1_PORTS_UTIL 2395265 10224
EXE_ACTIVITY.2_PORTS_UTIL 1503945 2935
EXE_ACTIVITY.EXE_BOUND_0_PORTS 16656 522
CYCLE_ACTIVITY.STALLS_L1D_MISS 5618241 14232
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 257863349 1044681
INST_RETIRED 63108130 751631
MEM_INST_RETIRED.ALL_LOADS 22774820 406367
MEM_INST_RETIRED.ALL_STORES 3628097 84579
L1D.REPLACEMENT 6921014 84507
L2_LINES_IN.ALL 5149079 58890
IDQ_UOPS_NOT_DELIVERED.CORE 44514813 646734
UOPS_ISSUED.ANY 186918155 1564547
INT_MISC.RECOVERY_CYCLES_ANY 8971322 129140
UOPS_RETIRED.RETIRE_SLOTS 80135412 929861
CYCLE_ACTIVITY.STALLS_MEM_ANY 156223329 1171822
EXE_ACTIVITY.BOUND_ON_STORES 146266 31769
EXE_ACTIVITY.1_PORTS_UTIL 29696643 239166
EXE_ACTIVITY.2_PORTS_UTIL 21446192 189284
EXE_ACTIVITY.EXE_BOUND_0_PORTS 312537 14900
CYCLE_ACTIVITY.STALLS_L1D_MISS 111331915 1856602
CYCLE_ACTIVITY.STALLS_L2_MISS 103961471 1792290
CYCLE_ACTIVITY.STALLS_L3_MISS 44993990 2370055
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1137 1140
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 54897333 2734497


CPU_CLK_UNHALTED 465675489 1565708
INST_RETIRED 117037519 2240304
MEM_INST_RETIRED.ALL_LOADS 42332641 1078097
MEM_INST_RETIRED.ALL_STORES 6792952 201901
L1D.REPLACEMENT 12649721 156958
L2_LINES_IN.ALL 9450415 101724
IDQ_UOPS_NOT_DELIVERED.CORE 82876444 1453933
UOPS_ISSUED.ANY 350782861 4761718
INT_MISC.RECOVERY_CYCLES_ANY 17294648 600414
UOPS_RETIRED.RETIRE_SLOTS 154657394 3729716
CYCLE_ACTIVITY.STALLS_MEM_ANY 291505038 5056241
EXE_ACTIVITY.BOUND_ON_STORES 195213 88712
EXE_ACTIVITY.1_PORTS_UTIL 57765572 971966
EXE_ACTIVITY.2_PORTS_UTIL 42167016 959881
EXE_ACTIVITY.EXE_BOUND_0_PORTS 627717 42071
CYCLE_ACTIVITY.STALLS_L1D_MISS 210554398 6953411
CYCLE_ACTIVITY.STALLS_L2_MISS 199116668 5439305
CYCLE_ACTIVITY.STALLS_L3_MISS 85164650 5549963
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 4759 3553
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 105677391 6293993


CPU_CLK_UNHALTED 649009106 48522128
INST_RETIRED 166446912 16332664
MEM_INST_RETIRED.ALL_LOADS 57123598 9539621
MEM_INST_RETIRED.ALL_STORES 10553463 2037047
L1D.REPLACEMENT 17824303 3395660
L2_LINES_IN.ALL 13284627 2153303
IDQ_UOPS_NOT_DELIVERED.CORE 125368300 39886944
UOPS_ISSUED.ANY 488293579 74617347
INT_MISC.RECOVERY_CYCLES_ANY 25068225 5597212
UOPS_RETIRED.RETIRE_SLOTS 219872009 21658567
CYCLE_ACTIVITY.STALLS_MEM_ANY 394342332 82120296
EXE_ACTIVITY.BOUND_ON_STORES 1160428 1678706
EXE_ACTIVITY.1_PORTS_UTIL 80316895 16329247
EXE_ACTIVITY.2_PORTS_UTIL 57710167 12454941
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1248545 707671
CYCLE_ACTIVITY.STALLS_L1D_MISS 289801530 62646886
CYCLE_ACTIVITY.STALLS_L2_MISS 276840991 47330221
CYCLE_ACTIVITY.STALLS_L3_MISS 119695698 28476371
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 153669 404034
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 151650741 38380288


CPU_CLK_UNHALTED 854205014 56862313
INST_RETIRED 234270276 25037032
MEM_INST_RETIRED.ALL_LOADS 72974576 11508439
MEM_INST_RETIRED.ALL_STORES 13652749 2404200
L1D.REPLACEMENT 28787937 6783228
L2_LINES_IN.ALL 20429711 3951982
IDQ_UOPS_NOT_DELIVERED.CORE 218554319 88833566
UOPS_ISSUED.ANY 667275375 92427447
INT_MISC.RECOVERY_CYCLES_ANY 38764842 10532232
UOPS_RETIRED.RETIRE_SLOTS 288353761 25327652
CYCLE_ACTIVITY.STALLS_MEM_ANY 520321674 95044715
EXE_ACTIVITY.BOUND_ON_STORES 2758044 2728805
EXE_ACTIVITY.1_PORTS_UTIL 112678716 20941200
EXE_ACTIVITY.2_PORTS_UTIL 77458660 14381883
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2743919 1757117
CYCLE_ACTIVITY.STALLS_L1D_MISS 410751192 80485043
CYCLE_ACTIVITY.STALLS_L2_MISS 394021952 66559490
CYCLE_ACTIVITY.STALLS_L3_MISS 191195655 56551999
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 772075 921172
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 250581085 81568963


CPU_CLK_UNHALTED 1060173723 64220968
INST_RETIRED 300709857 31154277
MEM_INST_RETIRED.ALL_LOADS 88441624 13326591
MEM_INST_RETIRED.ALL_STORES 16460547 2789925
L1D.REPLACEMENT 39842191 9107420
L2_LINES_IN.ALL 27866732 5373864
IDQ_UOPS_NOT_DELIVERED.CORE 315516061 122771056
UOPS_ISSUED.ANY 850037056 109248328
INT_MISC.RECOVERY_CYCLES_ANY 52964176 14121308
UOPS_RETIRED.RETIRE_SLOTS 355190345 28846871
CYCLE_ACTIVITY.STALLS_MEM_ANY 649154583 106419812
EXE_ACTIVITY.BOUND_ON_STORES 3847199 3142170
EXE_ACTIVITY.1_PORTS_UTIL 145506975 24941210
EXE_ACTIVITY.2_PORTS_UTIL 97192051 16058485
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4303333 2451235
CYCLE_ACTIVITY.STALLS_L1D_MISS 535647573 97891714
CYCLE_ACTIVITY.STALLS_L2_MISS 515024642 82854498
CYCLE_ACTIVITY.STALLS_L3_MISS 267188240 77210986
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1425107 1246325
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 355379340 112152178


CPU_CLK_UNHALTED 1233825026 60651211
INST_RETIRED 354977002 41183573
MEM_INST_RETIRED.ALL_LOADS 103045838 20938197
MEM_INST_RETIRED.ALL_STORES 20007622 3239040
L1D.REPLACEMENT 47084774 10987330
L2_LINES_IN.ALL 33187386 6328717
IDQ_UOPS_NOT_DELIVERED.CORE 368365094 152444549
UOPS_ISSUED.ANY 1002727224 144678104
INT_MISC.RECOVERY_CYCLES_ANY 60966044 19015002
UOPS_RETIRED.RETIRE_SLOTS 424537267 36531994
CYCLE_ACTIVITY.STALLS_MEM_ANY 740067252 164646308
EXE_ACTIVITY.BOUND_ON_STORES 33178740 122817243
EXE_ACTIVITY.1_PORTS_UTIL 164241302 42924399
EXE_ACTIVITY.2_PORTS_UTIL 109765240 28303141
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5341289 3216327
CYCLE_ACTIVITY.STALLS_L1D_MISS 599184033 168081939
CYCLE_ACTIVITY.STALLS_L2_MISS 587359740 132125226
CYCLE_ACTIVITY.STALLS_L3_MISS 302138619 101848635
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1661609 1467254
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 403181203 144567254


CPU_CLK_UNHALTED 1441399305 67192617
INST_RETIRED 408782593 44926565
MEM_INST_RETIRED.ALL_LOADS 122705055 23427060
MEM_INST_RETIRED.ALL_STORES 23197214 3517426
L1D.REPLACEMENT 52888540 12162011
L2_LINES_IN.ALL 37626588 6975090
IDQ_UOPS_NOT_DELIVERED.CORE 406190008 170022195
UOPS_ISSUED.ANY 1165296290 156266178
INT_MISC.RECOVERY_CYCLES_ANY 69029251 20809142
UOPS_RETIRED.RETIRE_SLOTS 497682897 40425052
CYCLE_ACTIVITY.STALLS_MEM_ANY 876576569 180239643
EXE_ACTIVITY.BOUND_ON_STORES 33256189 133118385
EXE_ACTIVITY.1_PORTS_UTIL 192045366 46451420
EXE_ACTIVITY.2_PORTS_UTIL 130161395 30903762
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5644395 3651598
CYCLE_ACTIVITY.STALLS_L1D_MISS 700033278 181421286
CYCLE_ACTIVITY.STALLS_L2_MISS 682869031 142647561
CYCLE_ACTIVITY.STALLS_L3_MISS 341203869 111853349
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1663211 1673932
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 452307442 159792163


CPU_CLK_UNHALTED 1649254246 73273912
INST_RETIRED 460798879 48633304
MEM_INST_RETIRED.ALL_LOADS 141615202 25417935
MEM_INST_RETIRED.ALL_STORES 26211958 3792982
L1D.REPLACEMENT 58727210 13228891
L2_LINES_IN.ALL 42007828 7584222
IDQ_UOPS_NOT_DELIVERED.CORE 444501140 185727636
UOPS_ISSUED.ANY 1327248455 166981074
INT_MISC.RECOVERY_CYCLES_ANY 77118753 22454872
UOPS_RETIRED.RETIRE_SLOTS 569510014 43480826
CYCLE_ACTIVITY.STALLS_MEM_ANY 1016880748 196033977
EXE_ACTIVITY.BOUND_ON_STORES 33417388 142688119
EXE_ACTIVITY.1_PORTS_UTIL 219747166 49719937
EXE_ACTIVITY.2_PORTS_UTIL 150384529 33237606
EXE_ACTIVITY.EXE_BOUND_0_PORTS 5910184 4067768
CYCLE_ACTIVITY.STALLS_L1D_MISS 805817566 194273973
CYCLE_ACTIVITY.STALLS_L2_MISS 783320392 152551458
CYCLE_ACTIVITY.STALLS_L3_MISS 386568825 119692801
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1666664 1857138
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 509004940 171597588


CPU_CLK_UNHALTED 1857198363 78899623
INST_RETIRED 513073957 52029235
MEM_INST_RETIRED.ALL_LOADS 160611608 27309632
MEM_INST_RETIRED.ALL_STORES 29270661 4042743
L1D.REPLACEMENT 64643997 14201477
L2_LINES_IN.ALL 46428998 8140411
IDQ_UOPS_NOT_DELIVERED.CORE 482387714 200430828
UOPS_ISSUED.ANY 1489325083 177101899
INT_MISC.RECOVERY_CYCLES_ANY 84857064 24110546
UOPS_RETIRED.RETIRE_SLOTS 640784767 46251345
CYCLE_ACTIVITY.STALLS_MEM_ANY 1157400129 210734244
EXE_ACTIVITY.BOUND_ON_STORES 33560950 151653618
EXE_ACTIVITY.1_PORTS_UTIL 247298373 52776974
EXE_ACTIVITY.2_PORTS_UTIL 170408465 35348713
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6181933 4439786
CYCLE_ACTIVITY.STALLS_L1D_MISS 911375272 206381830
CYCLE_ACTIVITY.STALLS_L2_MISS 883302980 161820445
CYCLE_ACTIVITY.STALLS_L3_MISS 429909844 127466066
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1668711 2023900
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 563248340 183368273


CPU_CLK_UNHALTED 2065044834 84158625
INST_RETIRED 566860147 55026231
MEM_INST_RETIRED.ALL_LOADS 180117375 29253840
MEM_INST_RETIRED.ALL_STORES 32425387 4270291
L1D.REPLACEMENT 70463930 15136033
L2_LINES_IN.ALL 50801720 8673412
IDQ_UOPS_NOT_DELIVERED.CORE 520554782 214002819
UOPS_ISSUED.ANY 1652953683 186666521
INT_MISC.RECOVERY_CYCLES_ANY 93116172 25503150
UOPS_RETIRED.RETIRE_SLOTS 715706630 50007201
CYCLE_ACTIVITY.STALLS_MEM_ANY 1293178047 223167195
EXE_ACTIVITY.BOUND_ON_STORES 33628029 160121307
EXE_ACTIVITY.1_PORTS_UTIL 275267329 55691876
EXE_ACTIVITY.2_PORTS_UTIL 190968166 37468280
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6505009 4757713
CYCLE_ACTIVITY.STALLS_L1D_MISS 1011354747 217442039
CYCLE_ACTIVITY.STALLS_L2_MISS 978611821 170669231
CYCLE_ACTIVITY.STALLS_L3_MISS 469649388 135839441
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1670682 2178540
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 613393919 195813921


CPU_CLK_UNHALTED 2266720570 99105814
INST_RETIRED 617279019 64303903
MEM_INST_RETIRED.ALL_LOADS 198935209 31505674
MEM_INST_RETIRED.ALL_STORES 35495486 4581421
L1D.REPLACEMENT 75869278 16200665
L2_LINES_IN.ALL 55004172 9254780
IDQ_UOPS_NOT_DELIVERED.CORE 558639007 226803264
UOPS_ISSUED.ANY 1815072959 196008434
INT_MISC.RECOVERY_CYCLES_ANY 101104251 26888393
UOPS_RETIRED.RETIRE_SLOTS 789131141 53045013
CYCLE_ACTIVITY.STALLS_MEM_ANY 1426082525 234475149
EXE_ACTIVITY.BOUND_ON_STORES 33649866 168169796
EXE_ACTIVITY.1_PORTS_UTIL 299843774 58449345
EXE_ACTIVITY.2_PORTS_UTIL 209171604 39412319
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6840130 5038913
CYCLE_ACTIVITY.STALLS_L1D_MISS 1097650632 228419724
CYCLE_ACTIVITY.STALLS_L2_MISS 1060405336 199623564
CYCLE_ACTIVITY.STALLS_L3_MISS 501882357 152937990
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1672104 2322751
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 654502605 218290158


CPU_CLK_UNHALTED 2454290655 135755082
INST_RETIRED 679145323 73688675
MEM_INST_RETIRED.ALL_LOADS 212332819 38172080
MEM_INST_RETIRED.ALL_STORES 39522556 6458541
L1D.REPLACEMENT 84534681 19476416
L2_LINES_IN.ALL 60658378 11242979
IDQ_UOPS_NOT_DELIVERED.CORE 635963578 264492151
UOPS_ISSUED.ANY 1967922521 256021660
