here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 49324248 177762
INST_RETIRED 55823060 1068591
MEM_INST_RETIRED.ALL_LOADS 13645691 173907
MEM_INST_RETIRED.ALL_STORES 2621640 35974
L1D.REPLACEMENT 1021361 8021
L2_LINES_IN.ALL 882734 11940
IDQ_UOPS_NOT_DELIVERED.CORE 2764995 108581
UOPS_ISSUED.ANY 68572423 3509436
INT_MISC.RECOVERY_CYCLES_ANY 0 0
UOPS_RETIRED.RETIRE_SLOTS 0 0
CYCLE_ACTIVITY.STALLS_MEM_ANY 6265470 10696
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3539414 54059
EXE_ACTIVITY.2_PORTS_UTIL 2544151 75906
EXE_ACTIVITY.EXE_BOUND_0_PORTS 0 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 257572804 672924
INST_RETIRED 307238680 4626855
MEM_INST_RETIRED.ALL_LOADS 78992435 1940192
MEM_INST_RETIRED.ALL_STORES 15935713 397884
L1D.REPLACEMENT 6468339 198381
L2_LINES_IN.ALL 5834200 236058
IDQ_UOPS_NOT_DELIVERED.CORE 19959521 416930
UOPS_ISSUED.ANY 548735796 14536066
INT_MISC.RECOVERY_CYCLES_ANY 27364564 349699
UOPS_RETIRED.RETIRE_SLOTS 302854085 3709967
CYCLE_ACTIVITY.STALLS_MEM_ANY 65743111 2024725
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 44716644 952995
EXE_ACTIVITY.2_PORTS_UTIL 36113180 621992
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6516930 669967
CYCLE_ACTIVITY.STALLS_L1D_MISS 40665724 3111340
CYCLE_ACTIVITY.STALLS_L2_MISS 36892379 2036810
CYCLE_ACTIVITY.STALLS_L3_MISS 31601061 1901392
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 100365 40454
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 48881973 2775431


CPU_CLK_UNHALTED 465803811 971644
INST_RETIRED 557653599 6999891
MEM_INST_RETIRED.ALL_LOADS 143965977 3100752
MEM_INST_RETIRED.ALL_STORES 29185028 623308
L1D.REPLACEMENT 11865434 366142
L2_LINES_IN.ALL 10649524 387490
IDQ_UOPS_NOT_DELIVERED.CORE 37068605 661581
UOPS_ISSUED.ANY 1025066193 21543551
INT_MISC.RECOVERY_CYCLES_ANY 51817490 934300
UOPS_RETIRED.RETIRE_SLOTS 568404147 8951073
CYCLE_ACTIVITY.STALLS_MEM_ANY 124895161 4608264
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 85154511 1720015
EXE_ACTIVITY.2_PORTS_UTIL 69268986 1051288
EXE_ACTIVITY.EXE_BOUND_0_PORTS 13033240 1046603
CYCLE_ACTIVITY.STALLS_L1D_MISS 81967364 4792187
CYCLE_ACTIVITY.STALLS_L2_MISS 74225074 4842707
CYCLE_ACTIVITY.STALLS_L3_MISS 63838258 4428212
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 233306 92863
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 99835801 6487281


CPU_CLK_UNHALTED 674108068 1200855
INST_RETIRED 808139310 9171728
MEM_INST_RETIRED.ALL_LOADS 208913004 4113270
MEM_INST_RETIRED.ALL_STORES 42362228 833386
L1D.REPLACEMENT 17373728 503423
L2_LINES_IN.ALL 15600952 495415
IDQ_UOPS_NOT_DELIVERED.CORE 54049859 869500
UOPS_ISSUED.ANY 1500156794 27135453
INT_MISC.RECOVERY_CYCLES_ANY 76184336 1437279
UOPS_RETIRED.RETIRE_SLOTS 836281800 12144078
CYCLE_ACTIVITY.STALLS_MEM_ANY 183300168 7030246
EXE_ACTIVITY.BOUND_ON_STORES 8827 27805
EXE_ACTIVITY.1_PORTS_UTIL 126419291 2649867
EXE_ACTIVITY.2_PORTS_UTIL 103005804 1873782
EXE_ACTIVITY.EXE_BOUND_0_PORTS 19209997 1552597
CYCLE_ACTIVITY.STALLS_L1D_MISS 120631203 7750392
CYCLE_ACTIVITY.STALLS_L2_MISS 111247866 6073394
CYCLE_ACTIVITY.STALLS_L3_MISS 96064236 5618412
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 330549 158252
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 150527027 8189263


CPU_CLK_UNHALTED 882393571 1394553
INST_RETIRED 1061622802 12339195
MEM_INST_RETIRED.ALL_LOADS 274889275 5492146
MEM_INST_RETIRED.ALL_STORES 55832778 1081212
L1D.REPLACEMENT 22720950 631587
L2_LINES_IN.ALL 20534043 653628
IDQ_UOPS_NOT_DELIVERED.CORE 71448898 1219416
UOPS_ISSUED.ANY 1979568726 34600056
INT_MISC.RECOVERY_CYCLES_ANY 100315027 1893793
UOPS_RETIRED.RETIRE_SLOTS 1100883365 15134342
CYCLE_ACTIVITY.STALLS_MEM_ANY 243011584 8636083
EXE_ACTIVITY.BOUND_ON_STORES 9005 32170
EXE_ACTIVITY.1_PORTS_UTIL 167507821 3198460
EXE_ACTIVITY.2_PORTS_UTIL 136282457 2325375
EXE_ACTIVITY.EXE_BOUND_0_PORTS 25579993 1836404
CYCLE_ACTIVITY.STALLS_L1D_MISS 161037552 10153531
CYCLE_ACTIVITY.STALLS_L2_MISS 146512118 8598186
CYCLE_ACTIVITY.STALLS_L3_MISS 125970480 8649174
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 418743 197854
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 197915410 12844935


CPU_CLK_UNHALTED 1090787831 1568493
INST_RETIRED 1314193710 14609294
MEM_INST_RETIRED.ALL_LOADS 340429991 6468697
MEM_INST_RETIRED.ALL_STORES 69176033 1281067
L1D.REPLACEMENT 28276401 780885
L2_LINES_IN.ALL 25572209 782400
IDQ_UOPS_NOT_DELIVERED.CORE 88249590 1503232
UOPS_ISSUED.ANY 2451058911 40578877
INT_MISC.RECOVERY_CYCLES_ANY 124658339 2283432
UOPS_RETIRED.RETIRE_SLOTS 1367886215 17848687
CYCLE_ACTIVITY.STALLS_MEM_ANY 301948586 10547214
EXE_ACTIVITY.BOUND_ON_STORES 9874 35926
EXE_ACTIVITY.1_PORTS_UTIL 208680918 4010727
EXE_ACTIVITY.2_PORTS_UTIL 169749518 2865591
EXE_ACTIVITY.EXE_BOUND_0_PORTS 31760900 2368752
CYCLE_ACTIVITY.STALLS_L1D_MISS 199747597 12797077
CYCLE_ACTIVITY.STALLS_L2_MISS 182801050 9787474
CYCLE_ACTIVITY.STALLS_L3_MISS 157408149 9936754
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 512877 235889
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 247562542 14675912


