here
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
period: 0
freq: 0
CPU_CLK_UNHALTED 51121284 174197
INST_RETIRED 22454160 963897
MEM_INST_RETIRED.ALL_LOADS 3418262 132815
MEM_INST_RETIRED.ALL_STORES 23234 6683
L1D.REPLACEMENT 420167 11733
L2_LINES_IN.ALL 608466 26881
IDQ_UOPS_NOT_DELIVERED.CORE 29222092 571746
UOPS_ISSUED.ANY 0 0
INT_MISC.RECOVERY_CYCLES_ANY 4292700 706324
UOPS_RETIRED.RETIRE_SLOTS 10949547 916040
CYCLE_ACTIVITY.STALLS_MEM_ANY 11280240 1368044
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.1_PORTS_UTIL 3289310 0
EXE_ACTIVITY.2_PORTS_UTIL 1921796 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 365645 0
CYCLE_ACTIVITY.STALLS_L1D_MISS 0 0
CYCLE_ACTIVITY.STALLS_L2_MISS 0 0
CYCLE_ACTIVITY.STALLS_L3_MISS 0 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 0 0


CPU_CLK_UNHALTED 258563765 544011
INST_RETIRED 123125270 6092948
MEM_INST_RETIRED.ALL_LOADS 20210287 2147657
MEM_INST_RETIRED.ALL_STORES 153040 55089
L1D.REPLACEMENT 2636618 136781
L2_LINES_IN.ALL 4265631 291783
IDQ_UOPS_NOT_DELIVERED.CORE 196042457 19653387
UOPS_ISSUED.ANY 290126030 13668923
INT_MISC.RECOVERY_CYCLES_ANY 34569821 2847288
UOPS_RETIRED.RETIRE_SLOTS 90819122 6471339
CYCLE_ACTIVITY.STALLS_MEM_ANY 111459306 7868976
EXE_ACTIVITY.BOUND_ON_STORES 7642 26240
EXE_ACTIVITY.1_PORTS_UTIL 36377975 1456189
EXE_ACTIVITY.2_PORTS_UTIL 24419188 1278392
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4387225 502899
CYCLE_ACTIVITY.STALLS_L1D_MISS 85227304 6208666
CYCLE_ACTIVITY.STALLS_L2_MISS 73490013 5700170
CYCLE_ACTIVITY.STALLS_L3_MISS 50091551 6164526
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 20874 20279
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 59257802 9093499


CPU_CLK_UNHALTED 466281159 735066
INST_RETIRED 228518525 10885390
MEM_INST_RETIRED.ALL_LOADS 38350516 4446215
MEM_INST_RETIRED.ALL_STORES 318923 105738
L1D.REPLACEMENT 4968072 265623
L2_LINES_IN.ALL 7947826 561059
IDQ_UOPS_NOT_DELIVERED.CORE 350774307 40249564
UOPS_ISSUED.ANY 541004648 26253144
INT_MISC.RECOVERY_CYCLES_ANY 66165652 4355733
UOPS_RETIRED.RETIRE_SLOTS 169768956 9749039
CYCLE_ACTIVITY.STALLS_MEM_ANY 211884081 12085356
EXE_ACTIVITY.BOUND_ON_STORES 7642 40657
EXE_ACTIVITY.1_PORTS_UTIL 69888042 2281018
EXE_ACTIVITY.2_PORTS_UTIL 47154001 3020169
EXE_ACTIVITY.EXE_BOUND_0_PORTS 8568116 772649
CYCLE_ACTIVITY.STALLS_L1D_MISS 160629064 11261755
CYCLE_ACTIVITY.STALLS_L2_MISS 145896539 12457370
CYCLE_ACTIVITY.STALLS_L3_MISS 99359184 13298368
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 55103 42157
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 116338333 18321429


CPU_CLK_UNHALTED 674026236 898309
INST_RETIRED 326457739 15946041
MEM_INST_RETIRED.ALL_LOADS 54708759 6160035
MEM_INST_RETIRED.ALL_STORES 444777 142846
L1D.REPLACEMENT 7164032 378154
L2_LINES_IN.ALL 11531510 780179
IDQ_UOPS_NOT_DELIVERED.CORE 520197600 56468704
UOPS_ISSUED.ANY 799503842 40600231
INT_MISC.RECOVERY_CYCLES_ANY 97028877 6328796
UOPS_RETIRED.RETIRE_SLOTS 251841498 14239758
CYCLE_ACTIVITY.STALLS_MEM_ANY 309096357 16669804
EXE_ACTIVITY.BOUND_ON_STORES 7642 51460
EXE_ACTIVITY.1_PORTS_UTIL 103045076 3037316
EXE_ACTIVITY.2_PORTS_UTIL 68659480 4627910
EXE_ACTIVITY.EXE_BOUND_0_PORTS 12685684 1020514
CYCLE_ACTIVITY.STALLS_L1D_MISS 239216997 17130793
CYCLE_ACTIVITY.STALLS_L2_MISS 221561569 20742846
CYCLE_ACTIVITY.STALLS_L3_MISS 153644266 22615429
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 171322 247913
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 182396911 31384759


CPU_CLK_UNHALTED 881857240 1050310
INST_RETIRED 430635259 20959561
MEM_INST_RETIRED.ALL_LOADS 72466470 7963188
MEM_INST_RETIRED.ALL_STORES 582614 181566
L1D.REPLACEMENT 9396403 483993
L2_LINES_IN.ALL 15313346 1039396
IDQ_UOPS_NOT_DELIVERED.CORE 692150284 75845970
UOPS_ISSUED.ANY 1057878165 60732637
INT_MISC.RECOVERY_CYCLES_ANY 126629356 8002638
UOPS_RETIRED.RETIRE_SLOTS 331549283 18893936
CYCLE_ACTIVITY.STALLS_MEM_ANY 411385798 22163591
EXE_ACTIVITY.BOUND_ON_STORES 7642 60374
EXE_ACTIVITY.1_PORTS_UTIL 135342387 3990838
EXE_ACTIVITY.2_PORTS_UTIL 91673000 5769878
EXE_ACTIVITY.EXE_BOUND_0_PORTS 16516653 1310746
CYCLE_ACTIVITY.STALLS_L1D_MISS 323214436 22805072
CYCLE_ACTIVITY.STALLS_L2_MISS 294572363 26893474
CYCLE_ACTIVITY.STALLS_L3_MISS 205224253 29516572
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 204369 291508
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 245022914 41496847


CPU_CLK_UNHALTED 1089719000 1185654
INST_RETIRED 533478385 26076764
MEM_INST_RETIRED.ALL_LOADS 89736588 9998712
MEM_INST_RETIRED.ALL_STORES 729737 228621
L1D.REPLACEMENT 11676727 596802
L2_LINES_IN.ALL 18942825 1284141
IDQ_UOPS_NOT_DELIVERED.CORE 853111372 92232049
UOPS_ISSUED.ANY 1310117380 87705697
INT_MISC.RECOVERY_CYCLES_ANY 157493858 9922239
UOPS_RETIRED.RETIRE_SLOTS 410163055 23663713
CYCLE_ACTIVITY.STALLS_MEM_ANY 512882181 27924849
EXE_ACTIVITY.BOUND_ON_STORES 7642 68515
EXE_ACTIVITY.1_PORTS_UTIL 168628303 4652844
EXE_ACTIVITY.2_PORTS_UTIL 113591390 7173642
EXE_ACTIVITY.EXE_BOUND_0_PORTS 20689606 1568442
CYCLE_ACTIVITY.STALLS_L1D_MISS 399437777 27811500
CYCLE_ACTIVITY.STALLS_L2_MISS 366413724 34696731
CYCLE_ACTIVITY.STALLS_L3_MISS 254614789 38055645
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 307117 455782
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 303342440 52829638


CPU_CLK_UNHALTED 1297506333 1315349
INST_RETIRED 631784389 31713687
MEM_INST_RETIRED.ALL_LOADS 105537178 11804347
MEM_INST_RETIRED.ALL_STORES 832258 267117
L1D.REPLACEMENT 13860815 692105
L2_LINES_IN.ALL 22535266 1553466
IDQ_UOPS_NOT_DELIVERED.CORE 1022525310 107222727
UOPS_ISSUED.ANY 1568047708 100101920
INT_MISC.RECOVERY_CYCLES_ANY 188032585 12014009
UOPS_RETIRED.RETIRE_SLOTS 493551639 27947501
CYCLE_ACTIVITY.STALLS_MEM_ANY 610368809 32197666
EXE_ACTIVITY.BOUND_ON_STORES 7642 75371
EXE_ACTIVITY.1_PORTS_UTIL 201313532 5510055
EXE_ACTIVITY.2_PORTS_UTIL 135677325 8405075
EXE_ACTIVITY.EXE_BOUND_0_PORTS 24742399 1879713
CYCLE_ACTIVITY.STALLS_L1D_MISS 479825038 34578198
CYCLE_ACTIVITY.STALLS_L2_MISS 444892852 42210163
CYCLE_ACTIVITY.STALLS_L3_MISS 311368327 46739883
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 419042 618945
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 372087903 65369520


CPU_CLK_UNHALTED 1505292085 1437671
INST_RETIRED 738221191 35453636
MEM_INST_RETIRED.ALL_LOADS 124029591 13397801
MEM_INST_RETIRED.ALL_STORES 990803 312845
L1D.REPLACEMENT 16197536 810955
L2_LINES_IN.ALL 26510304 1793089
IDQ_UOPS_NOT_DELIVERED.CORE 1196672418 126292976
UOPS_ISSUED.ANY 1817902671 128425422
INT_MISC.RECOVERY_CYCLES_ANY 217030405 13594881
UOPS_RETIRED.RETIRE_SLOTS 570816634 34328651
CYCLE_ACTIVITY.STALLS_MEM_ANY 715499441 38152443
EXE_ACTIVITY.BOUND_ON_STORES 7642 81674
EXE_ACTIVITY.1_PORTS_UTIL 233674973 6557899
EXE_ACTIVITY.2_PORTS_UTIL 158987597 9527221
EXE_ACTIVITY.EXE_BOUND_0_PORTS 28561101 2267393
CYCLE_ACTIVITY.STALLS_L1D_MISS 563070706 42579252
CYCLE_ACTIVITY.STALLS_L2_MISS 514347894 48079835
CYCLE_ACTIVITY.STALLS_L3_MISS 359632317 52853253
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 449688 675152
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 430605073 73249684


CPU_CLK_UNHALTED 1712931744 1563641
INST_RETIRED 837694935 41248200
MEM_INST_RETIRED.ALL_LOADS 140876302 15127472
MEM_INST_RETIRED.ALL_STORES 1134168 355299
L1D.REPLACEMENT 18432610 933437
L2_LINES_IN.ALL 30157727 2092792
IDQ_UOPS_NOT_DELIVERED.CORE 1359338596 140916141
UOPS_ISSUED.ANY 2074327309 149026404
INT_MISC.RECOVERY_CYCLES_ANY 247594653 15247667
UOPS_RETIRED.RETIRE_SLOTS 652046750 40414165
CYCLE_ACTIVITY.STALLS_MEM_ANY 814405414 43647374
EXE_ACTIVITY.BOUND_ON_STORES 7642 88143
EXE_ACTIVITY.1_PORTS_UTIL 266879033 7296322
EXE_ACTIVITY.2_PORTS_UTIL 181293285 10507699
EXE_ACTIVITY.EXE_BOUND_0_PORTS 32816953 2602076
CYCLE_ACTIVITY.STALLS_L1D_MISS 638713937 48431904
CYCLE_ACTIVITY.STALLS_L2_MISS 591251069 56082533
CYCLE_ACTIVITY.STALLS_L3_MISS 415110032 62315839
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 566240 802200
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 497988996 86740146


CPU_CLK_UNHALTED 1920800500 1700560
INST_RETIRED 935782477 46322619
MEM_INST_RETIRED.ALL_LOADS 157061606 16856168
MEM_INST_RETIRED.ALL_STORES 1247326 404754
L1D.REPLACEMENT 20662170 1026297
L2_LINES_IN.ALL 33844407 2304648
IDQ_UOPS_NOT_DELIVERED.CORE 1531380943 157959466
UOPS_ISSUED.ANY 2331096183 165460769
INT_MISC.RECOVERY_CYCLES_ANY 276586816 16749030
UOPS_RETIRED.RETIRE_SLOTS 734543673 46899182
CYCLE_ACTIVITY.STALLS_MEM_ANY 914791031 49464137
EXE_ACTIVITY.BOUND_ON_STORES 7642 93336
EXE_ACTIVITY.1_PORTS_UTIL 299562132 8533501
EXE_ACTIVITY.2_PORTS_UTIL 203622053 11635078
EXE_ACTIVITY.EXE_BOUND_0_PORTS 36852798 3131741
CYCLE_ACTIVITY.STALLS_L1D_MISS 719284211 59148132
CYCLE_ACTIVITY.STALLS_L2_MISS 667566136 63773539
CYCLE_ACTIVITY.STALLS_L3_MISS 470701877 70989295
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 679632 909541
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 565998223 98606866


CPU_CLK_UNHALTED 2128496177 1815116
INST_RETIRED 1042109523 50561532
MEM_INST_RETIRED.ALL_LOADS 175793783 18378170
MEM_INST_RETIRED.ALL_STORES 1421336 443310
L1D.REPLACEMENT 23031817 1147187
L2_LINES_IN.ALL 37822382 2600169
IDQ_UOPS_NOT_DELIVERED.CORE 1702035360 172814385
UOPS_ISSUED.ANY 2578093117 186461625
