seed=0 elastic=0.05089431731921068 weights=0.06560982695795814 rr=-0.26618377582219543 rr_nrmse=0.06179718965751957
seed=1 elastic=0.5182114103677076 weights=0.4984364896916942 rr=0.44432706336510885 rr_nrmse=0.4487844211677532
seed=2 elastic=0.7658645805526024 weights=0.7750396539491714 rr=0.5717530840969205 rr_nrmse=0.6100390338763073
seed=3 elastic=0.5881005027201984 weights=0.6675672361693944 rr=0.4886604110109324 rr_nrmse=0.5823641662435061
seed=4 elastic=0.689785193650635 weights=0.6792781365039324 rr=0.7270381064835626 rr_nrmse=0.7624603010280002
seed=5 elastic=0.4184327347753194 weights=0.42054792944053865 rr=-0.3435428615362439 rr_nrmse=-0.3844952531078276
seed=6 elastic=0.6217656644794602 weights=0.6275530354002753 rr=0.6691430050965967 rr_nrmse=0.6316828718965674
seed=7 elastic=0.7330693904198324 weights=0.7205160384613879 rr=0.576285484089391 rr_nrmse=0.6257707706574258
seed=8 elastic=0.8508228917854126 weights=0.8770862760983223 rr=0.8016623696905478 rr_nrmse=0.7971880919608626
seed=9 elastic=0.07019738094036032 weights=0.05599392023667382 rr=-0.31445366217370774 rr_nrmse=-0.11840099028654394
seed=10 elastic=0.6178464075611153 weights=0.5260390431190498 rr=0.577023946148792 rr_nrmse=0.5842716164489996
seed=11 elastic=-0.4451750093284197 weights=-0.48450809357904046 rr=-2.16056614889375 rr_nrmse=-1.8145380590953084
seed=12 elastic=0.7123291159013092 weights=0.7145383277378987 rr=0.7061310937354328 rr_nrmse=0.7382922607009743
seed=13 elastic=0.4769032285300284 weights=0.5314739920879086 rr=0.5464482166047697 rr_nrmse=0.548954717898368
seed=14 elastic=0.4951270104763783 weights=0.17962152800123143 rr=0.4670446999793605 rr_nrmse=0.4615003262474927
seed=15 elastic=0.3919281388732383 weights=0.4378975074539403 rr=0.34364968666047613 rr_nrmse=0.4624710566296546
seed=16 elastic=0.7156045586077682 weights=0.7358024213929653 rr=0.5718494038465083 rr_nrmse=0.5909515647930905
seed=17 elastic=0.4532878916991482 weights=0.5019388968174103 rr=0.5769468950753561 rr_nrmse=0.6056106136351118
seed=18 elastic=-0.05708530517335775 weights=-0.2119301628825021 rr=-0.26236842848317865 rr_nrmse=-0.3078466430630524
seed=19 elastic=0.6784429647436099 weights=0.6623546408281146 rr=0.5422088016954302 rr_nrmse=0.5750809315690267
seed=20 elastic=0.5791292422699725 weights=0.6337189409787193 rr=0.5918053266478853 rr_nrmse=0.5884946253526977
seed=21 elastic=0.3591226032754996 weights=0.22530173656198194 rr=0.3417410452915989 rr_nrmse=0.3980501081547039
seed=22 elastic=0.5611602635346188 weights=0.5391674201078815 rr=0.5991728130160591 rr_nrmse=0.6685561196898786
seed=23 elastic=0.7087360335271321 weights=0.6629661156329026 rr=0.4445855573088794 rr_nrmse=0.6046455273163762
seed=24 elastic=0.3145920697353578 weights=0.35622485222963574 rr=0.435057824624714 rr_nrmse=0.4433437603698448
seed=25 elastic=0.6602249096884285 weights=0.4441545256720899 rr=0.4837522355299648 rr_nrmse=0.4242570729296231
seed=26 elastic=0.733234547115011 weights=0.6603322965973841 rr=0.6496470848534507 rr_nrmse=0.7308276356388216
seed=27 elastic=-0.48998531272305423 weights=-0.2734835091824037 rr=-1.1781289641842672 rr_nrmse=-1.0953918697510043
seed=28 elastic=0.16200061878875782 weights=-0.3198284903464892 rr=-0.21571370837512993 rr_nrmse=0.11675931844721155
seed=29 elastic=0.73067752791999 weights=0.6868253859720352 rr=0.5070124542130724 rr_nrmse=0.4819071220290174
seed=30 elastic=0.8256165509185267 weights=0.7134047392327446 rr=0.5075194260170177 rr_nrmse=0.6819033143238629
seed=31 elastic=0.37673435743322303 weights=0.3870749792321152 rr=0.19978937523830287 rr_nrmse=0.37585655843075916
seed=32 elastic=0.5320497937790762 weights=0.5638257857572058 rr=0.4851595336157687 rr_nrmse=0.5268694345533231
seed=33 elastic=0.3312494911063414 weights=0.3967847107990108 rr=0.3225259457122044 rr_nrmse=0.31565495387637876
seed=34 elastic=0.7332665767044002 weights=0.7867775061950426 rr=0.6733051172671487 rr_nrmse=0.5827038034641698
seed=35 elastic=0.5756503730839795 weights=0.5460173309237323 rr=0.5926954807515219 rr_nrmse=0.6343517983161617
seed=36 elastic=0.47267873849617015 weights=0.5118758235377773 rr=0.545046242976772 rr_nrmse=0.564611102805481
seed=37 elastic=0.19239251864242135 weights=0.5440205508788413 rr=0.580459440428585 rr_nrmse=0.5745281708221972
seed=38 elastic=0.47274708123660214 weights=0.4969974719616501 rr=0.5617928326957138 rr_nrmse=0.6125069834727466
seed=39 elastic=0.5927477547383537 weights=0.39363541026318793 rr=0.20841447425635562 rr_nrmse=0.4211311490583224
seed=40 elastic=0.5415068054253023 weights=0.36307971893936297 rr=0.6480683305393644 rr_nrmse=0.753350641776185
seed=41 elastic=-0.04467676664409148 weights=-0.07438956220719506 rr=-0.39208167218277 rr_nrmse=-0.34371024123767824
seed=42 elastic=0.7272065826659004 weights=0.7294233500619483 rr=0.6085124224169749 rr_nrmse=0.612686453856621
seed=43 elastic=0.581350639633999 weights=0.588005862966965 rr=0.6589103244964466 rr_nrmse=0.5911965042738975
seed=44 elastic=0.562254860076703 weights=0.614951987343995 rr=-0.09642784382286895 rr_nrmse=-0.0056017233982426085
seed=45 elastic=0.447033599841937 weights=0.3439685986534389 rr=0.268869163702426 rr_nrmse=0.37435889034455805
seed=46 elastic=0.40194572456252786 weights=0.2686684401886318 rr=0.2721251383758536 rr_nrmse=0.21820190368088688
seed=47 elastic=-0.3095443584985993 weights=-0.2057868490953969 rr=-0.0936673280227267 rr_nrmse=0.022785063992664667
seed=48 elastic=0.6733133846206494 weights=0.49835491169846546 rr=0.6529098484869746 rr_nrmse=0.670733113023454
seed=49 elastic=0.7191937032668769 weights=0.7848504192027013 rr=0.6297395578182121 rr_nrmse=0.6461473334240111
seed=50 elastic=0.6694649017186564 weights=0.5442508723549013 rr=0.5138848550610605 rr_nrmse=0.5758687216873959
seed=51 elastic=-0.1293363497295339 weights=-0.14297631875176564 rr=-0.6464442975437095 rr_nrmse=-0.3328331285193813
seed=52 elastic=0.6870581995293822 weights=0.687734993775158 rr=0.7383744067716465 rr_nrmse=0.713764904378738
seed=53 elastic=0.7153647824121625 weights=0.8024392093685533 rr=0.34254797399437065 rr_nrmse=0.6357404561553768
seed=54 elastic=-2.2918566646412497 weights=-4.428038212993444 rr=-1.8068226448739986 rr_nrmse=-1.4866736826899682
seed=55 elastic=0.5619121040346038 weights=0.4900630544446939 rr=0.7210539816817498 rr_nrmse=0.7683329162580104
seed=56 elastic=0.384034407739942 weights=0.592710132579271 rr=0.46358617774789945 rr_nrmse=0.5401314899806379
seed=57 elastic=0.6984530194086473 weights=0.6925375466696673 rr=0.694016501280023 rr_nrmse=0.6820778181568774
seed=58 elastic=0.40958656282705286 weights=0.4853814268956982 rr=0.5882059777928659 rr_nrmse=0.6537198849532238
seed=59 elastic=0.7732788626024784 weights=0.8053734540384556 rr=0.7736814844514779 rr_nrmse=0.7580578895117572
seed=60 elastic=0.05214152335656619 weights=0.00046069940233883777 rr=0.02875525136131707 rr_nrmse=0.022713566509979466
seed=61 elastic=0.5738803821968318 weights=0.5998920293296189 rr=0.4533179294359878 rr_nrmse=0.5077126078926436
seed=62 elastic=0.5415649174876298 weights=0.5383503920121193 rr=0.6405398385090139 rr_nrmse=0.6186288251420998
seed=63 elastic=0.41933066304700195 weights=0.3184410371694495 rr=0.08150195352459699 rr_nrmse=0.2658786748390518
seed=64 elastic=0.43410999453006427 weights=0.3465393971632865 rr=0.5221650940967918 rr_nrmse=0.5908050469382957
seed=65 elastic=0.6078435217460175 weights=0.653965562266669 rr=0.47624645449585157 rr_nrmse=0.5619739413923948
seed=66 elastic=0.5309407534354033 weights=0.5815745777898419 rr=0.6386818481623131 rr_nrmse=0.6374408717920816
seed=67 elastic=0.7279435708706152 weights=0.7249603773165609 rr=0.6090404164970423 rr_nrmse=0.5982536204138471
seed=68 elastic=-0.06680517241616513 weights=0.02780866484399458 rr=0.1229097667457999 rr_nrmse=0.08077582269105343
seed=69 elastic=0.5734750874138523 weights=0.5442405958401699 rr=0.5271625419099948 rr_nrmse=0.4850455028529045
seed=70 elastic=0.748519265815063 weights=0.7067498214919326 rr=0.6644698976470635 rr_nrmse=0.6977801212822852
seed=71 elastic=0.4539419187792636 weights=0.4478127357650512 rr=0.5310502323148886 rr_nrmse=0.5680633494791265
seed=72 elastic=0.20350520496737112 weights=0.17196054516077375 rr=-0.18943810675086037 rr_nrmse=0.037113729583177935
seed=73 elastic=0.29776366292686474 weights=0.2681362402840237 rr=0.46760221250210376 rr_nrmse=0.4659450444772816
seed=74 elastic=0.6312784384189014 weights=0.6099505952269777 rr=0.5734317974045897 rr_nrmse=0.6399478308724644
seed=75 elastic=0.5939599516469023 weights=0.5452235075976967 rr=0.5943783502643967 rr_nrmse=0.5839076610676475
seed=76 elastic=-0.14411172296749508 weights=-0.0914202907610131 rr=-1.087045731736481 rr_nrmse=-0.8234365195499009
seed=77 elastic=0.702921145386928 weights=0.7341440700509879 rr=0.6543637258213654 rr_nrmse=0.6504726927932407
seed=78 elastic=-0.12975235144840935 weights=-0.18363630804686504 rr=-0.3278150255806467 rr_nrmse=-0.28475700047813324
seed=79 elastic=-0.30146535576879296 weights=-0.2792289680632962 rr=-0.30844556212028595 rr_nrmse=-0.24898570266575648
seed=80 elastic=-0.7380808094554563 weights=-0.6603994638279915 rr=-1.5817895742297563 rr_nrmse=-1.5117403617930596
seed=81 elastic=-1.3426517929301793 weights=-1.2522382945217143 rr=-2.02460129028197 rr_nrmse=-1.5581812056236943
seed=82 elastic=0.28222719844288724 weights=0.24122346270047723 rr=0.4903159822910933 rr_nrmse=0.48237896289291415
seed=83 elastic=0.5909324072848661 weights=0.6021196194267511 rr=0.5576944378465754 rr_nrmse=0.6724596864221357
seed=84 elastic=0.7726928145335509 weights=0.7634242378804437 rr=0.7380751221855805 rr_nrmse=0.7304205314569814
seed=85 elastic=0.7642287000404384 weights=0.753387851941745 rr=0.5773761045863285 rr_nrmse=0.6725249907049469
seed=86 elastic=0.5943750202919491 weights=0.7369249803056211 rr=0.5202002678187996 rr_nrmse=0.5496380656103261
seed=87 elastic=0.4923508346409755 weights=0.5151519883458426 rr=0.4924934785836008 rr_nrmse=0.4551628092636377
seed=88 elastic=0.4145625408534268 weights=0.4061135435901623 rr=0.3577470463992328 rr_nrmse=0.46902321508947165
seed=89 elastic=0.4252194254841012 weights=0.2836871111507022 rr=0.034086481450732786 rr_nrmse=0.19919590637240558
seed=90 elastic=0.524036863402864 weights=0.49266851791126565 rr=0.6380609809540345 rr_nrmse=0.6943194834523028
seed=91 elastic=0.17492820492837813 weights=0.03167838140760593 rr=0.4648704409648805 rr_nrmse=0.3310685507981279
seed=92 elastic=0.40125270340157837 weights=0.2853584012496646 rr=0.11894388761315078 rr_nrmse=0.2206127176561946
seed=93 elastic=0.5826992185492526 weights=0.5125934349573578 rr=0.5219956917752976 rr_nrmse=0.7093795622861084
seed=94 elastic=0.5031086482272147 weights=0.5693026881294556 rr=0.5786262774327369 rr_nrmse=0.49882664895716167
seed=95 elastic=0.7587780191874629 weights=0.6952771867554943 rr=0.7503104496087647 rr_nrmse=0.7702446296693783
seed=96 elastic=0.45784882459542564 weights=0.4041339755518222 rr=0.10597300885395866 rr_nrmse=0.03646766067500906
seed=97 elastic=0.18188323058074773 weights=0.3392915355689392 rr=-0.2139125542402196 rr_nrmse=-0.16746836088309092
