here
CPU_CLK_UNHALTED 47429878 345463
CYCLE_ACTIVITY.STALLS_L1D_MISS 16043256 711384
CYCLE_ACTIVITY.STALLS_L2_MISS 14018596 792337
CYCLE_ACTIVITY.STALLS_L3_MISS 4271573 50571
CYCLE_ACTIVITY.STALLS_MEM_ANY 17791861 453070
EXE_ACTIVITY.1_PORTS_UTIL 6270965 175360
EXE_ACTIVITY.2_PORTS_UTIL 4113682 143555
EXE_ACTIVITY.BOUND_ON_STORES 182128 20562
EXE_ACTIVITY.EXE_BOUND_0_PORTS 201030 28892
IDQ_UOPS_NOT_DELIVERED.CORE 19188141 779904
INST_RETIRED 6604927 195328
INT_MISC.RECOVERY_CYCLES_ANY 1657740 37097
L1D.REPLACEMENT 501389 6106
L2_LINES_IN.ALL 357577 21598
MEM_INST_RETIRED.ALL_LOADS 1128332 14529
MEM_INST_RETIRED.ALL_STORES 159823 269
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1093448 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 2667953 0
UOPS_RETIRED.RETIRE_SLOTS 22410 0


CPU_CLK_UNHALTED 236829934 6893743
CYCLE_ACTIVITY.STALLS_L1D_MISS 63994551 21939091
CYCLE_ACTIVITY.STALLS_L2_MISS 59995780 19518141
CYCLE_ACTIVITY.STALLS_L3_MISS 17330353 6031807
CYCLE_ACTIVITY.STALLS_MEM_ANY 80985331 18235933
EXE_ACTIVITY.1_PORTS_UTIL 31703007 7311857
EXE_ACTIVITY.2_PORTS_UTIL 25604471 3169976
EXE_ACTIVITY.BOUND_ON_STORES 6167462 17442778
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1331601 482377
IDQ_UOPS_NOT_DELIVERED.CORE 130356034 28264020
INST_RETIRED 227995021 49086451
INT_MISC.RECOVERY_CYCLES_ANY 12625436 4487741
L1D.REPLACEMENT 4562965 910978
L2_LINES_IN.ALL 4020383 1299518
MEM_INST_RETIRED.ALL_LOADS 54022719 51130633
MEM_INST_RETIRED.ALL_STORES 2778968 1155932
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 21665103 7251140
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 766 1747
UOPS_ISSUED.ANY 324863652 70732541
UOPS_RETIRED.RETIRE_SLOTS 213717125 45927795


CPU_CLK_UNHALTED 375185287 73453584
CYCLE_ACTIVITY.STALLS_L1D_MISS 102395896 46803782
CYCLE_ACTIVITY.STALLS_L2_MISS 95265387 43056021
CYCLE_ACTIVITY.STALLS_L3_MISS 26659976 10870449
CYCLE_ACTIVITY.STALLS_MEM_ANY 132452431 48190594
EXE_ACTIVITY.1_PORTS_UTIL 52558951 20305181
EXE_ACTIVITY.2_PORTS_UTIL 41905005 11222222
EXE_ACTIVITY.BOUND_ON_STORES 8110828 17686465
EXE_ACTIVITY.EXE_BOUND_0_PORTS 2595005 1069600
IDQ_UOPS_NOT_DELIVERED.CORE 224238841 75691270
INST_RETIRED 340035409 106943026
INT_MISC.RECOVERY_CYCLES_ANY 21755402 8943583
L1D.REPLACEMENT 8149677 2933438
L2_LINES_IN.ALL 7366037 2485783
MEM_INST_RETIRED.ALL_LOADS 76082854 57031556
MEM_INST_RETIRED.ALL_STORES 8041624 6915385
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 36308476 13918815
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1269 3144
UOPS_ISSUED.ANY 514230311 66876367
UOPS_RETIRED.RETIRE_SLOTS 328840213 125397508


CPU_CLK_UNHALTED 562094673 93473916
CYCLE_ACTIVITY.STALLS_L1D_MISS 164339815 66191055
CYCLE_ACTIVITY.STALLS_L2_MISS 149277573 60496653
CYCLE_ACTIVITY.STALLS_L3_MISS 43521079 13864477
CYCLE_ACTIVITY.STALLS_MEM_ANY 215460748 66076273
EXE_ACTIVITY.1_PORTS_UTIL 86807742 27964290
EXE_ACTIVITY.2_PORTS_UTIL 66001968 15615812
EXE_ACTIVITY.BOUND_ON_STORES 9526561 19716978
EXE_ACTIVITY.EXE_BOUND_0_PORTS 4115864 1506276
IDQ_UOPS_NOT_DELIVERED.CORE 382262826 100989702
INST_RETIRED 400008347 37396099
INT_MISC.RECOVERY_CYCLES_ANY 37734878 11836022
L1D.REPLACEMENT 13679288 4166384
L2_LINES_IN.ALL 11786440 3540445
MEM_INST_RETIRED.ALL_LOADS 94767403 61867062
MEM_INST_RETIRED.ALL_STORES 11225830 7662393
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 61724006 18543772
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1756 4346
UOPS_ISSUED.ANY 721501314 92864015
UOPS_RETIRED.RETIRE_SLOTS 393991665 130565922


CPU_CLK_UNHALTED 751777960 113253193
CYCLE_ACTIVITY.STALLS_L1D_MISS 235340790 84451177
CYCLE_ACTIVITY.STALLS_L2_MISS 214530757 77982386
CYCLE_ACTIVITY.STALLS_L3_MISS 62099467 16858286
CYCLE_ACTIVITY.STALLS_MEM_ANY 307554805 83675648
EXE_ACTIVITY.1_PORTS_UTIL 121613403 34982312
EXE_ACTIVITY.2_PORTS_UTIL 89915990 19880261
