here
CPU_CLK_UNHALTED 50091045 199409
CYCLE_ACTIVITY.STALLS_L1D_MISS 8671928 1289921
CYCLE_ACTIVITY.STALLS_L2_MISS 6131490 528263
CYCLE_ACTIVITY.STALLS_L3_MISS 5248451 442704
CYCLE_ACTIVITY.STALLS_MEM_ANY 9878984 301522
EXE_ACTIVITY.1_PORTS_UTIL 7004705 177541
EXE_ACTIVITY.2_PORTS_UTIL 5320165 130617
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 897326 79700
IDQ_UOPS_NOT_DELIVERED.CORE 2174782 116213
INST_RETIRED 27611198 1275151
INT_MISC.RECOVERY_CYCLES_ANY 2356509 123259
L1D.REPLACEMENT 490489 26451
L2_LINES_IN.ALL 366557 14121
MEM_INST_RETIRED.ALL_LOADS 4010405 58451
MEM_INST_RETIRED.ALL_STORES 656321 262
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 1840057 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 1161 0
UOPS_ISSUED.ANY 6209503 0
UOPS_RETIRED.RETIRE_SLOTS 87945 0


CPU_CLK_UNHALTED 248879131 3595819
CYCLE_ACTIVITY.STALLS_L1D_MISS 47008672 7924906
CYCLE_ACTIVITY.STALLS_L2_MISS 40738868 5846480
CYCLE_ACTIVITY.STALLS_L3_MISS 35293934 7041951
CYCLE_ACTIVITY.STALLS_MEM_ANY 67919753 5031708
EXE_ACTIVITY.1_PORTS_UTIL 46502753 1361334
EXE_ACTIVITY.2_PORTS_UTIL 37640893 1708383
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 6889490 687698
IDQ_UOPS_NOT_DELIVERED.CORE 18747551 1193923
INST_RETIRED 269351346 13096167
INT_MISC.RECOVERY_CYCLES_ANY 25469138 1660955
L1D.REPLACEMENT 5687734 451662
L2_LINES_IN.ALL 5149322 350970
MEM_INST_RETIRED.ALL_LOADS 66874651 3403144
MEM_INST_RETIRED.ALL_STORES 13506884 580306
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 47571660 7731661
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 65077 78764
UOPS_ISSUED.ANY 458648242 24168418
