here
CPU_CLK_UNHALTED 48054179 273971
CYCLE_ACTIVITY.STALLS_L1D_MISS 14454054 543246
CYCLE_ACTIVITY.STALLS_L2_MISS 12621955 579282
CYCLE_ACTIVITY.STALLS_L3_MISS 352745 61509
CYCLE_ACTIVITY.STALLS_MEM_ANY 25290777 778911
EXE_ACTIVITY.1_PORTS_UTIL 1019934 30981
EXE_ACTIVITY.2_PORTS_UTIL 608558 31276
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 132233 17613
IDQ_UOPS_NOT_DELIVERED.CORE 2564960 178128
INST_RETIRED 1392777 54126
INT_MISC.RECOVERY_CYCLES_ANY 146590 5145
L1D.REPLACEMENT 95592 3979
L2_LINES_IN.ALL 207230 6385
MEM_INST_RETIRED.ALL_LOADS 219688 2977
MEM_INST_RETIRED.ALL_STORES 74433 92
OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_L3_MISS_DEMAND_DATA_RD 81816 0
OFFCORE_REQUESTS_OUTSTANDING.L3_MISS_DEMAND_DATA_RD_GE_6 0 0
UOPS_ISSUED.ANY 421885 0
UOPS_RETIRED.RETIRE_SLOTS 6376 0


CPU_CLK_UNHALTED 213969257 7597964
CYCLE_ACTIVITY.STALLS_L1D_MISS 50374658 22231422
CYCLE_ACTIVITY.STALLS_L2_MISS 47628795 19812034
CYCLE_ACTIVITY.STALLS_L3_MISS 858426 452842
CYCLE_ACTIVITY.STALLS_MEM_ANY 102144110 41558574
EXE_ACTIVITY.1_PORTS_UTIL 5642952 621360
EXE_ACTIVITY.2_PORTS_UTIL 3171381 806191
EXE_ACTIVITY.BOUND_ON_STORES 0 0
EXE_ACTIVITY.EXE_BOUND_0_PORTS 1308615 536573
IDQ_UOPS_NOT_DELIVERED.CORE 15629199 6028068
INST_RETIRED 10890475 888934
INT_MISC.RECOVERY_CYCLES_ANY 1070971 377954
L1D.REPLACEMENT 780701 289829
